"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia YUNGUYO (000)",30110,29184,926
"Hombres (001)",14659,14289,370
"Mujeres (002)",15451,14895,556
"De 18 a 29 años (003)",8364,7966,398
"Hombres (004)",4186,3990,196
"Mujeres (005)",4178,3976,202
"De 30 a 44 años (006)",8615,8503,112
"Hombres (007)",4167,4114,53
"Mujeres (008)",4448,4389,59
"De 45 a 64 años (009)",8440,8341,99
"Hombres (010)",4060,4019,41
"Mujeres (011)",4380,4322,58
"De 65 y más años (012)",4691,4374,317
"Hombres (013)",2246,2166,80
"Mujeres (014)",2445,2208,237
,,,
"URBANA (015)",10973,10698,275
"Hombres (016)",5351,5223,128
"Mujeres (017)",5622,5475,147
"De 18 a 29 años (018)",3369,3236,133
"Hombres (019)",1651,1592,59
"Mujeres (020)",1718,1644,74
"De 30 a 44 años (021)",3637,3593,44
"Hombres (022)",1760,1734,26
"Mujeres (023)",1877,1859,18
"De 45 a 64 años (024)",2820,2777,43
"Hombres (025)",1409,1386,23
"Mujeres (026)",1411,1391,20
"De 65 y más años (027)",1147,1092,55
"Hombres (028)",531,511,20
"Mujeres (029)",616,581,35
,,,
"RURAL (030)",19137,18486,651
"Hombres (031)",9308,9066,242
"Mujeres (032)",9829,9420,409
"De 18 a 29 años (033)",4995,4730,265
"Hombres (034)",2535,2398,137
"Mujeres (035)",2460,2332,128
"De 30 a 44 años (036)",4978,4910,68
"Hombres (037)",2407,2380,27
"Mujeres (038)",2571,2530,41
"De 45 a 64 años (039)",5620,5564,56
"Hombres (040)",2651,2633,18
"Mujeres (041)",2969,2931,38
"De 65 y más años (042)",3544,3282,262
"Hombres (043)",1715,1655,60
"Mujeres (044)",1829,1627,202
