"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PACHITEA (000)",50529,11500,1004,30417,6249,313,275,301,470
"Hombres (001)",25636,3896,487,16728,3755,178,144,187,261
"Mujeres (002)",24893,7604,517,13689,2494,135,131,114,209
"PEA (003)",17566,3504,53,10623,2526,140,196,129,395
"Hombres (004)",15116,2791,41,9571,2159,102,122,97,233
"Mujeres (005)",2450,713,12,1052,367,38,74,32,162
"Ocupada (006)",16666,3374,49,10190,2260,129,177,122,365
"Hombres (007)",14501,2708,37,9265,1983,93,105,93,217
"Mujeres (008)",2165,666,12,925,277,36,72,29,148
"Desocupada (009)",900,130,4,433,266,11,19,7,30
"Hombres (010)",615,83,4,306,176,9,17,4,16
"Mujeres (011)",285,47,,127,90,2,2,3,14
"No PEA (012)",32963,7996,951,19794,3723,173,79,172,75
"Hombres (013)",10520,1105,446,7157,1596,76,22,90,28
"Mujeres (014)",22443,6891,505,12637,2127,97,57,82,47
,,,,,,,,,
"URBANA (018)",7546,926,141,3643,1924,192,195,208,317
"Hombres (019)",3807,255,79,1930,1057,99,97,123,167
"Mujeres (020)",3739,671,62,1713,867,93,98,85,150
"PEA (021)",2823,280,7,1185,767,89,139,96,260
"Hombres (022)",2079,172,5,945,598,60,81,71,147
"Mujeres (023)",744,108,2,240,169,29,58,25,113
"Ocupada (024)",2579,265,7,1101,671,80,124,89,242
"Hombres (025)",1907,165,5,884,528,53,68,67,137
"Mujeres (026)",672,100,2,217,143,27,56,22,105
"Desocupada (027)",244,15,,84,96,9,15,7,18
"Hombres (028)",172,7,,61,70,7,13,4,10
"Mujeres (029)",72,8,,23,26,2,2,3,8
"No PEA (030)",4723,646,134,2458,1157,103,56,112,57
"Hombres (031)",1728,83,74,985,459,39,16,52,20
"Mujeres (032)",2995,563,60,1473,698,64,40,60,37
,,,,,,,,,
"RURAL (036)",42983,10574,863,26774,4325,121,80,93,153
"Hombres (037)",21829,3641,408,14798,2698,79,47,64,94
"Mujeres (038)",21154,6933,455,11976,1627,42,33,29,59
"PEA (039)",14743,3224,46,9438,1759,51,57,33,135
"Hombres (040)",13037,2619,36,8626,1561,42,41,26,86
"Mujeres (041)",1706,605,10,812,198,9,16,7,49
"Ocupada (042)",14087,3109,42,9089,1589,49,53,33,123
"Hombres (043)",12594,2543,32,8381,1455,40,37,26,80
"Mujeres (044)",1493,566,10,708,134,9,16,7,43
"Desocupada (045)",656,115,4,349,170,2,4,,12
"Hombres (046)",443,76,4,245,106,2,4,,6
"Mujeres (047)",213,39,,104,64,,,,6
"No PEA (048)",28240,7350,817,17336,2566,70,23,60,18
"Hombres (049)",8792,1022,372,6172,1137,37,6,38,8
"Mujeres (050)",19448,6328,445,11164,1429,33,17,22,10
