"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARMEY (000)",24667,1179,318,8433,9606,1134,1363,991,1643
"Hombres (001)",12804,394,156,4212,5394,574,652,552,870
"Mujeres (002)",11863,785,162,4221,4212,560,711,439,773
"PEA (003)",10991,399,9,2457,4761,661,947,539,1218
"Hombres (004)",7902,231,8,1794,3706,450,575,394,744
"Mujeres (005)",3089,168,1,663,1055,211,372,145,474
"Ocupada (006)",10485,386,8,2357,4514,626,906,511,1177
"Hombres (007)",7547,225,7,1722,3519,425,551,377,721
"Mujeres (008)",2938,161,1,635,995,201,355,134,456
"Desocupada (009)",506,13,1,100,247,35,41,28,41
"Hombres (010)",355,6,1,72,187,25,24,17,23
"Mujeres (011)",151,7,,28,60,10,17,11,18
"No PEA (012)",13676,780,309,5976,4845,473,416,452,425
"Hombres (013)",4902,163,148,2418,1688,124,77,158,126
"Mujeres (014)",8774,617,161,3558,3157,349,339,294,299
,,,,,,,,,
"URBANA (018)",18800,730,272,5654,7395,1031,1278,914,1526
"Hombres (019)",9574,241,139,2768,4002,518,605,497,804
"Mujeres (020)",9226,489,133,2886,3393,513,673,417,722
"PEA (021)",8408,235,7,1489,3564,602,891,495,1125
"Hombres (022)",5727,126,6,989,2630,402,534,355,685
"Mujeres (023)",2681,109,1,500,934,200,357,140,440
"Ocupada (024)",7999,223,6,1424,3368,570,852,467,1089
"Hombres (025)",5449,121,5,943,2485,380,512,338,665
"Mujeres (026)",2550,102,1,481,883,190,340,129,424
"Desocupada (027)",409,12,1,65,196,32,39,28,36
"Hombres (028)",278,5,1,46,145,22,22,17,20
"Mujeres (029)",131,7,,19,51,10,17,11,16
"No PEA (030)",10392,495,265,4165,3831,429,387,419,401
"Hombres (031)",3847,115,133,1779,1372,116,71,142,119
"Mujeres (032)",6545,380,132,2386,2459,313,316,277,282
,,,,,,,,,
"RURAL (036)",5867,449,46,2779,2211,103,85,77,117
"Hombres (037)",3230,153,17,1444,1392,56,47,55,66
"Mujeres (038)",2637,296,29,1335,819,47,38,22,51
"PEA (039)",2583,164,2,968,1197,59,56,44,93
"Hombres (040)",2175,105,2,805,1076,48,41,39,59
"Mujeres (041)",408,59,,163,121,11,15,5,34
"Ocupada (042)",2486,163,2,933,1146,56,54,44,88
"Hombres (043)",2098,104,2,779,1034,45,39,39,56
"Mujeres (044)",388,59,,154,112,11,15,5,32
"Desocupada (045)",97,1,,35,51,3,2,,5
"Hombres (046)",77,1,,26,42,3,2,,3
"Mujeres (047)",20,,,9,9,,,,2
"No PEA (048)",3284,285,44,1811,1014,44,29,33,24
"Hombres (049)",1055,48,15,639,316,8,6,16,7
"Mujeres (050)",2229,237,29,1172,698,36,23,17,17
