"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LUYA (000)",12082,213,5260,3840,1076,392,185,69,16,,1031
"Catolica (001)",9995,172,4247,3237,926,328,164,55,14,,852
"Cristiana / Evangelica (002)",1452,32,725,412,102,40,14,9,2,,116
"Otra (003)",505,5,230,155,34,19,3,3,,,56
"Ninguna (004)",130,4,58,36,14,5,4,2,,,7
,,,,,,,,,,,
"URBANA (006)",5341,73,1983,1807,579,223,119,47,11,,499
"Catolica (007)",4430,61,1559,1553,511,188,107,42,9,,400
"Cristiana / Evangelica (008)",676,10,332,178,50,24,8,4,2,,68
"Otra (009)",186,1,66,64,16,11,2,,,,26
"Ninguna (010)",49,1,26,12,2,,2,1,,,5
,,,,,,,,,,,
"RURAL (012)",6741,140,3277,2033,497,169,66,22,5,,532
"Catolica (013)",5565,111,2688,1684,415,140,57,13,5,,452
"Cristiana / Evangelica (014)",776,22,393,234,52,16,6,5,,,48
"Otra (015)",319,4,164,91,18,8,1,3,,,30
"Ninguna (016)",81,3,32,24,12,5,2,1,,,2
