"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CHINCHA",,,,,,,,,
"Hogares (001)",48827,1321,479,342,276,168,171,124,45946
"Ocupantes presentes (002)",193285,4662,1513,1056,1078,729,816,708,182723
"Casa independiente",,,,,,,,,
"Hogares (004)",38847,1107,409,288,226,124,145,102,36446
"Ocupantes presentes (005)",154453,3977,1309,880,895,521,689,572,145610
"Departamento en edificio",,,,,,,,,
"Hogares (007)",382,20,7,4,2,4,,4,341
"Ocupantes presentes (008)",1282,64,18,14,7,20,,11,1148
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",287,5,2,2,3,5,3,2,265
"Ocupantes presentes (011)",1062,12,5,4,8,25,16,15,977
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",366,8,4,4,4,1,,,345
"Ocupantes presentes (014)",1379,19,14,14,16,5,,,1311
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1056,11,2,2,2,1,1,3,1034
"Ocupantes presentes (017)",3992,29,5,7,6,5,1,17,3922
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",7555,158,55,41,37,33,19,12,7200
"Ocupantes presentes (020)",30085,536,162,134,144,153,95,86,28775
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",74,5,,1,,,1,,67
"Ocupantes presentes (023)",226,10,,3,,,5,,208
"Otro tipo",,,,,,,,,
"Hogares (025)",260,7,,,2,,2,1,248
"Ocupantes presentes (026)",806,15,,,2,,10,7,772
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",43161,1266,452,315,257,155,160,115,40441
"Ocupantes presentes (029)",171705,4493,1438,976,1011,668,761,651,161707
"Casa independiente",,,,,,,,,
"Hogares (031)",34245,1063,384,263,209,112,135,96,31983
"Ocupantes presentes (032)",136891,3837,1239,807,834,465,635,532,128542
"Departamento en edificio",,,,,,,,,
"Hogares (034)",382,20,7,4,2,4,,4,341
"Ocupantes presentes (035)",1282,64,18,14,7,20,,11,1148
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",287,5,2,2,3,5,3,2,265
"Ocupantes presentes (038)",1062,12,5,4,8,25,16,15,977
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",366,8,4,4,4,1,,,345
"Ocupantes presentes (041)",1379,19,14,14,16,5,,,1311
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",7555,158,55,41,37,33,19,12,7200
"Ocupantes presentes (047)",30085,536,162,134,144,153,95,86,28775
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",72,5,,1,,,1,,65
"Ocupantes presentes (050)",215,10,,3,,,5,,197
"Otro tipo",,,,,,,,,
"Hogares (052)",254,7,,,2,,2,1,242
"Ocupantes presentes (053)",791,15,,,2,,10,7,757
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",5666,55,27,27,19,13,11,9,5505
"Ocupantes presentes (056)",21580,169,75,80,67,61,55,57,21016
"Casa independiente",,,,,,,,,
"Hogares (058)",4602,44,25,25,17,12,10,6,4463
"Ocupantes presentes (059)",17562,140,70,73,61,56,54,40,17068
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1056,11,2,2,2,1,1,3,1034
"Ocupantes presentes (071)",3992,29,5,7,6,5,1,17,3922
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",11,,,,,,,,11
"Otro tipo",,,,,,,,,
"Hogares (079)",6,,,,,,,,6
"Ocupantes presentes (080)",15,,,,,,,,15
