"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CAJAMARCA",,,,,,,,,
"Viviendas particulares (001)",50881,2253,4247,4287,7634,2358,2243,1026,26833
"Ocupantes presentes (002)",226144,10044,19569,19556,33870,10559,10218,4649,117679
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",45484,2170,3689,3654,6607,1981,1841,884,24658
"Ocupantes presentes (005)",205660,9688,17325,16981,30098,9209,8617,4146,109596
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1542,22,144,152,225,73,117,45,764
"Ocupantes presentes (008)",5781,92,537,685,806,267,428,155,2811
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",2704,35,270,337,608,205,217,77,955
"Ocupantes presentes (011)",10058,140,1064,1334,2200,717,837,280,3486
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",1012,20,137,133,176,93,64,17,372
"Ocupantes presentes (014)",4110,107,621,511,681,348,308,61,1473
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",37,4,,,1,1,2,,29
"Ocupantes presentes (017)",154,8,,,4,5,6,,131
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",28,1,1,2,5,,,,19
"Ocupantes presentes (020)",128,8,1,8,35,,,,76
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",74,1,6,9,12,5,2,3,36
"Ocupantes presentes (023)",253,1,21,37,46,13,22,7,106
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",32917,1160,3416,3924,6141,2154,2144,790,13188
"Ocupantes presentes (029)",148245,5277,15949,18069,27414,9702,9816,3587,58431
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",27565,1081,2858,3292,5115,1778,1744,648,11049
"Ocupantes presentes (032)",127938,4929,13705,15500,23646,8357,8221,3084,50496
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1542,22,144,152,225,73,117,45,764
"Ocupantes presentes (035)",5781,92,537,685,806,267,428,155,2811
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",2704,35,270,337,608,205,217,77,955
"Ocupantes presentes (038)",10058,140,1064,1334,2200,717,837,280,3486
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",1012,20,137,133,176,93,64,17,372
"Ocupantes presentes (041)",4110,107,621,511,681,348,308,61,1473
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",28,1,1,2,5,,,,19
"Ocupantes presentes (047)",128,8,1,8,35,,,,76
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",66,1,6,8,12,5,2,3,29
"Ocupantes presentes (050)",230,1,21,31,46,13,22,7,89
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",17964,1093,831,363,1493,204,99,236,13645
"Ocupantes presentes (056)",77899,4767,3620,1487,6456,857,402,1062,59248
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",17919,1089,831,362,1492,203,97,236,13609
"Ocupantes presentes (059)",77722,4759,3620,1481,6452,852,396,1062,59100
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",37,4,,,1,1,2,,29
"Ocupantes presentes (071)",154,8,,,4,5,6,,131
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",8,,,1,,,,,7
"Ocupantes presentes (077)",23,,,6,,,,,17
"Otro tipo",,,,,,,,,
