"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia RECUAY (000)",7598,7360,2105,920,889,728,1133,751,834,238
"Católica (001)",7141,6917,2001,874,844,678,1058,690,772,224
"Cristiana/Evangélica (002)",380,371,84,36,37,44,63,51,56,9
"Otra (003)",40,40,11,6,3,2,10,4,4,
"Ninguna (004)",37,32,9,4,5,4,2,6,2,5
,,,,,,,,,,
"URBANA (006)",4451,4327,1261,596,552,418,661,425,414,124
"Católica (007)",4193,4079,1201,563,525,391,614,399,386,114
"Cristiana/Evangélica (008)",206,200,46,24,22,26,39,19,24,6
"Otra (009)",29,29,8,6,1,,6,4,4,
"Ninguna (010)",23,19,6,3,4,1,2,3,,4
,,,,,,,,,,
"RURAL (012)",3147,3033,844,324,337,310,472,326,420,114
"Católica (013)",2948,2838,800,311,319,287,444,291,386,110
"Cristiana/Evangélica (014)",174,171,38,12,15,18,24,32,32,3
"Otra (015)",11,11,3,,2,2,4,,,
"Ninguna (016)",14,13,3,1,1,3,,3,2,1
