"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CANCHIS (000)",36972,103172,87707,,1581,85,1.5
"De 12 a 14 años (001)",3922,17,17,,1,100,5.9
"De 15 a 19 años (002)",4943,489,475,150,97.1,30.7,
"De 20 a 24 años (003)",3733,2690,2600,401,96.7,14.9,
"De 25 a 29 años (004)",3470,5686,5444,387,95.7,6.8,
"De 30 a 34 años (005)",3321,8589,8048,284,93.7,3.3,
"De 35 a 39 años (006)",3270,11114,10328,238,92.9,2.1,
"De 40 a 44 años (007)",2931,12735,11459,103,90,0.8,
"De 45 a 49 años (008)",2381,11655,10193,17,87.5,0.1,
"De 50 y más años (009)",9001,50197,39143,,78,,
"PEA (010)",14184,45363,39290,594,86.6,1.3,
"De 12 a 14 años (011)",226,4,4,,100,,
"De 15 a 19 años (012)",919,186,181,47,97.3,25.3,
"De 20 a 24 años (013)",1465,1027,989,133,96.3,13,
"De 25 a 29 años (014)",1697,2491,2392,137,96,5.5,
"De 30 a 34 años (015)",1724,4099,3851,134,93.9,3.3,
"De 35 a 39 años (016)",1717,5359,5024,87,93.7,1.6,
"De 40 a 44 años (017)",1622,6662,6044,46,90.7,0.7,
"De 45 a 49 años (018)",1385,6542,5731,10,87.6,0.2,
"De 50 y más años (019)",3429,18993,15074,,79.4,,
"Ocupada (020)",13631,44405,38407,560,86.5,1.3,
"De 12 a 14 años (021)",213,4,4,,100,,
"De 15 a 19 años (022)",857,177,172,45,97.2,25.4,
"De 20 a 24 años (023)",1333,956,919,124,96.1,13,
"De 25 a 29 años (024)",1581,2351,2255,128,95.9,5.4,
"De 30 a 34 años (025)",1648,3940,3699,129,93.9,3.3,
"De 35 a 39 años (026)",1655,5187,4862,81,93.7,1.6,
"De 40 a 44 años (027)",1589,6536,5928,43,90.7,0.7,
"De 45 a 49 años (028)",1363,6441,5644,10,87.6,0.2,
"De 50 y más años (029)",3392,18813,14924,,79.3,,
"Desocupada (030)",553,958,883,34,92.2,3.5,
"De 12 a 14 años (031)",13,,,,,,
"De 15 a 19 años (032)",62,9,9,2,100,22.2,
"De 20 a 24 años (033)",132,71,70,9,98.6,12.7,
"De 25 a 29 años (034)",116,140,137,9,97.9,6.4,
"De 30 a 34 años (035)",76,159,152,5,95.6,3.1,
