"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia YAROWILCA (000)",9124,31,434,65,41,339,4388,102,156,3285,24,259
"Agric., ganadería, caza y silvicultura (001)",7329,,,,,,4388,,,2941,,
"Explotación de minas y canteras (003)",16,,,2,,,,8,1,5,,
"Industrias manufactureras (004)",92,,,3,1,1,,83,2,2,,
"Construcción (006)",137,,3,1,1,,,1,79,52,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",315,,,1,,230,,10,,74,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",11,,,,,5,,6,,,,
"Comercio al por mayor (009)",18,,,,,18,,,,,,
"Comercio al por menor (010)",286,,,1,,207,,4,,74,,
"Hoteles y restaurantes (011)",143,,,1,,96,,,,46,,
"Trans., almac. y comunicaciones (012)",92,,,,,,,,71,21,,
"Intermediación financiera (013)",1,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",18,,2,6,3,2,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",95,23,3,3,26,3,,,3,10,24,
"Enseñanza (016)",421,8,393,1,6,,,,,13,,
"Servicios sociales y de salud (017)",64,,25,30,2,6,,,,1,,
"Otras activ. serv.comun.soc y personales (018)",33,,6,16,,1,,,,10,,
"Hogares privados con servicio doméstico (019)",105,,,,,,,,,105,,
"Actividad economica no especificada (021)",263,,1,1,2,,,,,,,259
"Hombres (022)",6086,25,287,51,29,108,3657,87,156,1590,24,72
"Agric., ganadería, caza y silvicultura (023)",5077,,,,,,3657,,,1420,,
"Explotación de minas y canteras (025)",16,,,2,,,,8,1,5,,
"Industrias manufactureras (026)",76,,,3,,1,,68,2,2,,
"Construcción (028)",136,,3,1,,,,1,79,52,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",149,,,1,,95,,10,,43,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",11,,,,,5,,6,,,,
"Comercio al por mayor (031)",6,,,,,6,,,,,,
"Comercio al por menor (032)",132,,,1,,84,,4,,43,,
"Hoteles y restaurantes (033)",16,,,,,6,,,,10,,
"Trans., almac. y comunicaciones (034)",85,,,,,,,,71,14,,
"Intermediación financiera (035)",1,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",15,,2,5,2,2,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",83,19,2,3,21,3,,,3,8,24,
"Enseñanza (038)",282,6,264,1,3,,,,,8,,
"Servicios sociales y de salud (039)",30,,9,18,1,1,,,,1,,
"Otras activ. serv.comun.soc y personales (040)",24,,5,16,,,,,,3,,
"Hogares privados con servicio doméstico (041)",20,,,,,,,,,20,,
"Actividad economica no especificada (043)",76,,1,1,2,,,,,,,72
"Mujeres (044)",3038,6,147,14,12,231,731,15,,1695,,187
"Agric., ganadería, caza y silvicultura (045)",2252,,,,,,731,,,1521,,
"Industrias manufactureras (048)",16,,,,1,,,15,,,,
"Construcción (050)",1,,,,1,,,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",166,,,,,135,,,,31,,
"Comercio al por mayor (053)",12,,,,,12,,,,,,
"Comercio al por menor (054)",154,,,,,123,,,,31,,
"Hoteles y restaurantes (055)",127,,,1,,90,,,,36,,
"Trans., almac. y comunicaciones (056)",7,,,,,,,,,7,,
"Activid.inmobil., empres. y alquileres (058)",3,,,1,1,,,,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",12,4,1,,5,,,,,2,,
"Enseñanza (060)",139,2,129,,3,,,,,5,,
"Servicios sociales y de salud (061)",34,,16,12,1,5,,,,,,
"Otras activ. serv.comun.soc y personales (062)",9,,1,,,1,,,,7,,
"Hogares privados con servicio doméstico (063)",85,,,,,,,,,85,,
"Actividad economica no especificada (065)",187,,,,,,,,,,,187
,,,,,,,,,,,,
"URBANA (066)",2340,25,278,35,35,221,821,39,71,703,24,88
"Agric., ganadería, caza y silvicultura (067)",1372,,,,,,821,,,551,,
