"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PAITA (000)",39827,38182,11724,5518,5906,4515,5132,2597,2790,1645
"Católica (001)",33872,32427,9922,4816,5088,3799,4303,2164,2335,1445
"Cristiana/Evangélica (002)",4718,4562,1359,520,661,575,683,362,402,156
"Otra (003)",794,762,284,98,98,91,101,47,43,32
"Ninguna (004)",443,431,159,84,59,50,45,24,10,12
,,,,,,,,,,
"URBANA (006)",38121,36550,11245,5330,5688,4311,4905,2475,2596,1571
"Católica (007)",32321,30946,9486,4640,4886,3618,4099,2049,2168,1375
"Cristiana/Evangélica (008)",4592,4440,1322,509,651,559,665,356,378,152
"Otra (009)",773,741,281,97,95,85,97,46,40,32
"Ninguna (010)",435,423,156,84,56,49,44,24,10,12
,,,,,,,,,,
"RURAL (012)",1706,1632,479,188,218,204,227,122,194,74
"Católica (013)",1551,1481,436,176,202,181,204,115,167,70
"Cristiana/Evangélica (014)",126,122,37,11,10,16,18,6,24,4
"Otra (015)",21,21,3,1,3,6,4,1,3,
"Ninguna (016)",8,8,3,,3,1,1,,,
