"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PISCO (000)",35531,456,12564,11041,4084,1509,613,173,21,,5070
"Sin Nivel (001)",1900,71,845,483,141,65,46,21,2,,226
"Educación Inicial (002)",37,,16,6,,,,,,,15
"Primaria (003)",8786,235,4144,2485,729,306,155,45,10,,677
"Secundaria (004)",14567,129,6026,4709,1324,452,188,54,4,,1681
"Sup. no Univ. Incompleta (005)",2358,10,575,908,285,75,23,2,,,480
"Sup. no Univ. Completa (006)",4635,6,608,1571,981,302,101,21,4,,1041
"Sup. Univ. Incompleta (007)",953,2,156,330,126,46,17,2,,,274
"Sup. Univ. Completa (008)",2295,3,194,549,498,263,83,28,1,,676
,,,,,,,,,,,
"URBANA (010)",31462,384,10941,9798,3681,1383,558,160,17,,4540
"Sin Nivel (011)",1389,57,597,336,107,51,37,17,1,,186
"Educación Inicial (012)",34,,15,5,,,,,,,14
"Primaria (013)",7405,192,3486,2097,613,270,136,43,7,,561
"Secundaria (014)",12988,116,5387,4194,1174,416,170,48,4,,1479
"Sup. no Univ. Incompleta (015)",2187,9,534,848,266,69,21,2,,,438
"Sup. no Univ. Completa (016)",4340,5,588,1467,920,284,99,20,4,,953
"Sup. Univ. Incompleta (017)",912,2,146,320,124,42,17,2,,,259
"Sup. Univ. Completa (018)",2207,3,188,531,477,251,78,28,1,,650
,,,,,,,,,,,
"RURAL (020)",4069,72,1623,1243,403,126,55,13,4,,530
"Sin Nivel (021)",511,14,248,147,34,14,9,4,1,,40
"Educación Inicial (022)",3,,1,1,,,,,,,1
"Primaria (023)",1381,43,658,388,116,36,19,2,3,,116
"Secundaria (024)",1579,13,639,515,150,36,18,6,,,202
"Sup. no Univ. Incompleta (025)",171,1,41,60,19,6,2,,,,42
"Sup. no Univ. Completa (026)",295,1,20,104,61,18,2,1,,,88
"Sup. Univ. Incompleta (027)",41,,10,10,2,4,,,,,15
"Sup. Univ. Completa (028)",88,,6,18,21,12,5,,,,26
