"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PALLASCA (000)",27147,5095,1033,12210,6179,570,676,430,954
"Quechua (001)",84,12,,18,25,3,13,3,10
"Aymara (002)",1,,,1,,,,,
"Ashaninca (003)",5,,,3,,,1,,1
"Otra lengua nativa (004)",49,10,4,14,15,2,3,,1
"Castellano (005)",26958,5042,1027,12163,6135,565,658,426,942
"Idioma extranjero (006)",4,,,,2,,1,1,
"Es sordomudo/a (007)",46,31,2,11,2,,,,
"Hombres (009)",13740,1704,525,6246,3607,395,405,286,572
"Quechua (010)",51,6,,11,12,,12,2,8
"Aymara (011)",1,,,1,,,,,
"Ashaninca (012)",3,,,1,,,1,,1
"Otra lengua nativa (013)",23,,2,8,9,2,2,,
"Castellano (014)",13629,1679,522,6215,3584,393,389,284,563
"Idioma extranjero (015)",1,,,,,,1,,
"Es sordomudo/a (016)",32,19,1,10,2,,,,
"Mujeres (018)",13407,3391,508,5964,2572,175,271,144,382
"Quechua (019)",33,6,,7,13,3,1,1,2
"Ashaninca (021)",2,,,2,,,,,
"Otra lengua nativa (022)",26,10,2,6,6,,1,,1
"Castellano (023)",13329,3363,505,5948,2551,172,269,142,379
"Idioma extranjero (024)",3,,,,2,,,1,
"Es sordomudo/a (025)",14,12,1,1,,,,,
,,,,,,,,,
"URBANA (027)",14162,2346,510,5694,3656,429,498,342,687
"Quechua (028)",62,7,,8,22,3,11,1,10
"Aymara (029)",1,,,1,,,,,
"Ashaninca (030)",4,,,2,,,1,,1
"Otra lengua nativa (031)",43,10,4,12,11,2,3,,1
"Castellano (032)",14023,2311,505,5665,3621,424,482,340,675
"Idioma extranjero (033)",4,,,,2,,1,1,
"Es sordomudo/a (034)",25,18,1,6,,,,,
"Hombres (036)",7093,747,267,2841,2026,284,291,229,408
"Quechua (037)",36,2,,5,10,,10,1,8
"Aymara (038)",1,,,1,,,,,
"Ashaninca (039)",3,,,1,,,1,,1
"Otra lengua nativa (040)",21,,2,8,7,2,2,,
"Castellano (041)",7010,730,265,2820,2009,282,277,228,399
"Idioma extranjero (042)",1,,,,,,1,,
"Es sordomudo/a (043)",21,15,,6,,,,,
"Mujeres (045)",7069,1599,243,2853,1630,145,207,113,279
"Quechua (046)",26,5,,3,12,3,1,,2
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",22,10,2,4,4,,1,,1
"Castellano (050)",7013,1581,240,2845,1612,142,205,112,276
"Idioma extranjero (051)",3,,,,2,,,1,
"Es sordomudo/a (052)",4,3,1,,,,,,
,,,,,,,,,
"RURAL (054)",12985,2749,523,6516,2523,141,178,88,267
"Quechua (055)",22,5,,10,3,,2,2,
"Ashaninca (057)",1,,,1,,,,,
"Otra lengua nativa (058)",6,,,2,4,,,,
"Castellano (059)",12935,2731,522,6498,2514,141,176,86,267
"Es sordomudo/a (061)",21,13,1,5,2,,,,
"Hombres (063)",6647,957,258,3405,1581,111,114,57,164
"Quechua (064)",15,4,,6,2,,2,1,
"Otra lengua nativa (067)",2,,,,2,,,,
"Castellano (068)",6619,949,257,3395,1575,111,112,56,164
"Es sordomudo/a (070)",11,4,1,4,2,,,,
"Mujeres (072)",6338,1792,265,3111,942,30,64,31,103
"Quechua (073)",7,1,,4,1,,,1,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",4,,,2,2,,,,
"Castellano (077)",6316,1782,265,3103,939,30,64,30,103
"Es sordomudo/a (079)",10,9,,1,,,,,
