"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAMANA (000)",1004,933,71
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",143,143,
"Casa pensión (003)",43,,43
"Hospital, clinica (004)",79,79,
"Cárcel, centro de readaptación social (005)",154,153,1
"Aldea infantil, orfelinato, etc (007)",29,29,
"Otro (008)",129,129,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",427,400,27
