"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BARRANCA (000)",2147,48,1093,581,362,63
"Sin nivel (001)",53,3,11,12,22,5
"Educación inicial (002)",3,,3,,,
"Primaria (003)",412,18,115,104,131,44
"Secundaria (004)",1146,27,671,294,143,11
"Superior no univ. incompleta (005)",76,,42,26,7,1
"Superior no univ. completa (006)",141,,64,55,21,1
"Superior univ. incompleta (007)",109,,73,25,11,
"Superior univ. completa (008)",207,,114,65,27,1
"Hombres (010)",1543,32,745,413,295,58
"Sin nivel (011)",32,1,9,8,11,3
"Educación inicial (012)",2,,2,,,
"Primaria (013)",320,14,84,72,108,42
"Secundaria (014)",852,17,481,218,126,10
"Superior no univ. incompleta (015)",52,,26,20,5,1
"Superior no univ. completa (016)",91,,37,36,17,1
"Superior univ. incompleta (017)",73,,46,17,10,
"Superior univ. completa (018)",121,,60,42,18,1
"Mujeres (020)",604,16,348,168,67,5
"Sin nivel (021)",21,2,2,4,11,2
"Educación inicial (022)",1,,1,,,
"Primaria (023)",92,4,31,32,23,2
"Secundaria (024)",294,10,190,76,17,1
"Superior no univ. incompleta (025)",24,,16,6,2,
"Superior no univ. completa (026)",50,,27,19,4,
"Superior univ. incompleta (027)",36,,27,8,1,
"Superior univ. completa (028)",86,,54,23,9,
,,,,,,
"Area Urbana (030)",1933,32,985,537,323,56
"Sin nivel (031)",33,1,8,5,16,3
"Educación inicial (032)",3,,3,,,
"Primaria (033)",346,10,93,91,113,39
"Secundaria (034)",1040,21,603,275,130,11
"Superior no univ. incompleta (035)",72,,40,24,7,1
"Superior no univ. completa (036)",136,,63,53,19,1
"Superior univ. incompleta (037)",102,,66,25,11,
"Superior univ. completa (038)",201,,109,64,27,1
"Hombres (040)",1370,22,661,374,261,52
"Sin nivel (041)",22,1,8,3,8,2
"Educación inicial (042)",2,,2,,,
"Primaria (043)",264,7,69,59,92,37
"Secundaria (044)",762,14,424,201,113,10
"Superior no univ. incompleta (045)",48,,24,18,5,1
"Superior no univ. completa (046)",87,,37,34,15,1
"Superior univ. incompleta (047)",67,,40,17,10,
"Superior univ. completa (048)",118,,57,42,18,1
"Mujeres (050)",563,10,324,163,62,4
"Sin nivel (051)",11,,,2,8,1
"Educación inicial (052)",1,,1,,,
"Primaria (053)",82,3,24,32,21,2
"Secundaria (054)",278,7,179,74,17,1
"Superior no univ. incompleta (055)",24,,16,6,2,
"Superior no univ. completa (056)",49,,26,19,4,
"Superior univ. incompleta (057)",35,,26,8,1,
"Superior univ. completa (058)",83,,52,22,9,
,,,,,,
"Area Rural (060)",214,16,108,44,39,7
"Sin nivel (061)",20,2,3,7,6,2
"Primaria (063)",66,8,22,13,18,5
"Secundaria (064)",106,6,68,19,13,
"Superior no univ. incompleta (065)",4,,2,2,,
"Superior no univ. completa (066)",5,,1,2,2,
"Superior univ. incompleta (067)",7,,7,,,
"Superior univ. completa (068)",6,,5,1,,
"Hombres (070)",173,10,84,39,34,6
"Sin nivel (071)",10,,1,5,3,1
"Primaria (073)",56,7,15,13,16,5
"Secundaria (074)",90,3,57,17,13,
"Superior no univ. incompleta (075)",4,,2,2,,
"Superior no univ. completa (076)",4,,,2,2,
"Superior univ. incompleta (077)",6,,6,,,
"Superior univ. completa (078)",3,,3,,,
"Mujeres (080)",41,6,24,5,5,1
"Sin nivel (081)",10,2,2,2,3,1
"Primaria (083)",10,1,7,,2,
"Secundaria (084)",16,3,11,2,,
"Superior no univ. completa (086)",1,,1,,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",3,,2,1,,
