"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TACNA (000)",71207,626,20092,23090,11033,4424,1742,437,55,,9708
"Sin Nivel (001)",5775,127,2094,1718,615,288,171,97,10,,655
"Educación Inicial (002)",79,3,27,18,7,5,,,,,19
"Primaria (003)",15590,209,5980,5126,1783,698,366,115,16,,1297
"Secundaria (004)",23814,187,8060,8281,2933,1032,405,83,10,,2823
"Sup. no Univ. Incompleta (005)",4369,23,1012,1606,640,212,62,11,1,,802
"Sup. no Univ. Completa (006)",7870,32,1194,2593,1893,667,206,36,6,,1243
"Sup. Univ. Incompleta (007)",4210,23,742,1392,728,242,96,12,1,,974
"Sup. Univ. Completa (008)",9500,22,983,2356,2434,1280,436,83,11,,1895
,,,,,,,,,,,
"URBANA (010)",66954,571,18514,21673,10508,4257,1660,424,54,,9293
"Sin Nivel (011)",4912,109,1747,1441,521,254,151,94,9,,586
"Educación Inicial (012)",77,3,26,18,7,5,,,,,18
"Primaria (013)",14199,188,5388,4681,1625,652,339,108,16,,1202
"Secundaria (014)",22471,173,7549,7792,2786,998,387,81,10,,2695
"Sup. no Univ. Incompleta (015)",4191,23,964,1534,613,206,61,11,1,,778
"Sup. no Univ. Completa (016)",7672,30,1153,2532,1851,645,202,36,6,,1217
"Sup. Univ. Incompleta (017)",4108,23,728,1356,712,237,93,12,1,,946
"Sup. Univ. Completa (018)",9324,22,959,2319,2393,1260,427,82,11,,1851
,,,,,,,,,,,
"RURAL (020)",4253,55,1578,1417,525,167,82,13,1,,415
"Sin Nivel (021)",863,18,347,277,94,34,20,3,1,,69
"Educación Inicial (022)",2,,1,,,,,,,,1
"Primaria (023)",1391,21,592,445,158,46,27,7,,,95
"Secundaria (024)",1343,14,511,489,147,34,18,2,,,128
"Sup. no Univ. Incompleta (025)",178,,48,72,27,6,1,,,,24
"Sup. no Univ. Completa (026)",198,2,41,61,42,22,4,,,,26
"Sup. Univ. Incompleta (027)",102,,14,36,16,5,3,,,,28
"Sup. Univ. Completa (028)",176,,24,37,41,20,9,1,,,44
