"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MELGAR (000)",43,36,7
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",3,3,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",7,6,1
"Aldea infantil, orfelinato, etc (007)",5,5,
"Otro (008)",19,15,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,6,2
