"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANGARAES (000)",12126,272,3704,4107,3136,907
"Agric., ganadería, caza y silvicultura (001)",6603,218,1770,1993,1910,712
"Pesca (002)",2,,1,1,,
"Explotación de minas y canteras (003)",733,,269,332,131,1
"Industrias manufactureras (004)",140,,45,50,39,6
"Suministro de electricidad, gas y agua (005)",36,,15,14,5,2
"Construcción (006)",350,1,110,128,104,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",734,14,194,262,212,52
"Venta, mant.y rep. veh.autom.y motoc. (008)",36,1,16,11,8,
"Comercio al por mayor (009)",22,,4,9,7,2
"Comercio al por menor (010)",676,13,174,242,197,50
"Hoteles y restaurantes (011)",205,7,72,70,43,13
"Trans., almac. y comunicaciones (012)",204,1,96,71,34,2
"Intermediación financiera (013)",2,,2,,,
"Activid.inmobil., empres. y alquileres (014)",128,1,41,53,30,3
"Admin.pub. y defensa; p. segur.soc afil (015)",264,,79,114,70,1
"Enseñanza (016)",721,,145,389,182,5
"Servicios sociales y de salud (017)",118,,43,59,15,1
"Otras activ. serv.comun.soc y personales (018)",118,9,54,38,14,3
"Hogares privados con servicio doméstico (019)",77,3,50,16,7,1
"Actividad economica no especificada (021)",531,4,205,158,122,42
"Desocupado (022)",1160,14,513,359,218,56
"Hombres (023)",8831,137,2668,3017,2361,648
"Agric., ganadería, caza y silvicultura (024)",5036,115,1352,1576,1466,527
"Pesca (025)",2,,1,1,,
"Explotación de minas y canteras (026)",721,,263,327,130,1
"Industrias manufactureras (027)",109,,33,35,37,4
"Suministro de electricidad, gas y agua (028)",34,,14,13,5,2
"Construcción (029)",341,1,107,122,104,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",302,7,88,95,92,20
"Venta, mant.y rep. veh.autom.y motoc. (031)",33,1,15,9,8,
"Comercio al por mayor (032)",12,,3,2,6,1
"Comercio al por menor (033)",257,6,70,84,78,19
"Hoteles y restaurantes (034)",52,3,25,13,8,3
"Trans., almac. y comunicaciones (035)",191,1,88,67,33,2
"Intermediación financiera (036)",1,,1,,,
"Activid.inmobil., empres. y alquileres (037)",92,1,25,39,25,2
"Admin.pub. y defensa; p. segur.soc afil (038)",222,,60,98,63,1
"Enseñanza (039)",403,,63,208,128,4
"Servicios sociales y de salud (040)",35,,12,17,6,
"Otras activ. serv.comun.soc y personales (041)",41,1,19,15,3,3
