"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAYACAJA (000)",34,32,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",3,2,1
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",9,9,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",12,12,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,6,1
