"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CANCHIS (000)",26349,200,9043,9323,2952,983,413,152,15,,3268
"Catolica (001)",22400,176,7685,7933,2537,841,346,130,14,,2738
"Cristiana / Evangelica (002)",2669,11,931,962,289,93,38,19,1,,325
"Otra (003)",930,6,309,320,95,38,24,3,,,135
"Ninguna (004)",350,7,118,108,31,11,5,,,,70
,,,,,,,,,,,
"URBANA (006)",15579,102,4817,5404,1869,690,298,104,10,,2285
"Catolica (007)",13329,92,4078,4676,1629,603,242,91,9,,1909
"Cristiana / Evangelica (008)",1385,5,462,459,155,48,30,11,1,,214
"Otra (009)",625,2,201,196,67,32,22,2,,,103
"Ninguna (010)",240,3,76,73,18,7,4,,,,59
,,,,,,,,,,,
"RURAL (012)",10770,98,4226,3919,1083,293,115,48,5,,983
"Catolica (013)",9071,84,3607,3257,908,238,104,39,5,,829
"Cristiana / Evangelica (014)",1284,6,469,503,134,45,8,8,,,111
"Otra (015)",305,4,108,124,28,6,2,1,,,32
"Ninguna (016)",110,4,42,35,13,4,1,,,,11
