"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LA UNION (000)",6663,1241,2332,1714,1376
"Asiste actualmente (001)",4551,487,2143,1540,381
"No asiste (002)",2112,754,189,174,995
"Hombres (004)",3446,620,1203,892,731
"Asiste actualmente (005)",2389,235,1112,809,233
"No asiste (006)",1057,385,91,83,498
"Mujeres (008)",3217,621,1129,822,645
"Asiste actualmente (009)",2162,252,1031,731,148
"No asiste (010)",1055,369,98,91,497
,,,,,
"URBANA (012)",3321,545,1075,993,708
"Asiste actualmente (013)",2533,282,1037,949,265
"No asiste (014)",788,263,38,44,443
"Hombres (016)",1716,267,554,522,373
"Asiste actualmente (017)",1318,138,528,500,152
"No asiste (018)",398,129,26,22,221
"Mujeres (020)",1605,278,521,471,335
"Asiste actualmente (021)",1215,144,509,449,113
"No asiste (022)",390,134,12,22,222
,,,,,
"RURAL (024)",3342,696,1257,721,668
"Asiste actualmente (025)",2018,205,1106,591,116
"No asiste (026)",1324,491,151,130,552
"Hombres (028)",1730,353,649,370,358
"Asiste actualmente (029)",1071,97,584,309,81
"No asiste (030)",659,256,65,61,277
"Mujeres (032)",1612,343,608,351,310
"Asiste actualmente (033)",947,108,522,282,35
"No asiste (034)",665,235,86,69,275
