"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LORETO (000)",17623,12806,1921,945,1951
"Empleado (001)",2614,803,454,459,898
"Obrero (002)",3130,1099,579,401,1051
"Trabajador independiente (003)",8326,7786,540,,
"Empleador o patrono (004)",154,98,39,17,
"Trabajador familiar no remunerado (005)",3146,2767,309,68,2
"Trabajador del hogar (006)",253,253,,,
"De 06 a 14 años (008)",423,361,56,4,2
"Empleado (009)",8,8,,,
"Obrero (010)",63,50,11,1,1
"Trabajador independiente (011)",19,18,1,,
"Trabajador familiar no remunerado (013)",310,262,44,3,1
"Trabajador del hogar (014)",23,23,,,
"De 15 a 29 años (016)",5858,4247,679,310,622
"Empleado (017)",774,311,118,99,246
"Obrero (018)",1252,437,263,177,375
"Trabajador independiente (019)",2254,2099,155,,
"Empleador o patrono (020)",36,22,8,6,
"Trabajador familiar no remunerado (021)",1400,1236,135,28,1
"Trabajador del hogar (022)",142,142,,,
"De 30 a 44 años (024)",6216,4162,744,435,875
"Empleado (025)",1268,341,249,253,425
"Obrero (026)",1144,341,199,154,450
"Trabajador independiente (027)",2959,2748,211,,
"Empleador o patrono (028)",68,43,18,7,
"Trabajador familiar no remunerado (029)",721,633,67,21,
"Trabajador del hogar (030)",56,56,,,
"De 45 a 64 años (032)",4189,3187,386,179,437
"Empleado (033)",546,137,85,106,218
"Obrero (034)",606,222,102,63,219
"Trabajador independiente (035)",2400,2262,138,,
"Empleador o patrono (036)",36,26,6,4,
"Trabajador familiar no remunerado (037)",574,513,55,6,
"Trabajador del hogar (038)",27,27,,,
"De 65 y más años (040)",937,849,56,17,15
"Empleado (041)",18,6,2,1,9
"Obrero (042)",65,49,4,6,6
"Trabajador independiente (043)",694,659,35,,
"Empleador o patrono (044)",14,7,7,,
"Trabajador familiar no remunerado (045)",141,123,8,10,
"Trabajador del hogar (046)",5,5,,,
,,,,,
"URBANA (048)",8619,5250,938,724,1707
"Empleado (049)",1897,499,252,382,764
"Obrero (050)",2289,732,308,308,941
"Trabajador independiente (051)",3172,2905,267,,
"Empleador o patrono (052)",93,65,17,11,
"Trabajador familiar no remunerado (053)",946,827,94,23,2
"Trabajador del hogar (054)",222,222,,,
"De 06 a 14 años (056)",179,156,19,2,2
