"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PATAZ (000)",78383,18782,9971,1358,48393
"Menos de 1 año (001)",2060,996,163,16,885
"De 1 a 14 años (002)",29195,13802,2562,341,12509
"De 15 a 29 años (003)",19410,2204,2927,422,13899
"De 30 a 44 años (004)",14149,1051,3209,383,9548
"De 45 a 64 años (005)",9053,553,993,158,7365
"De 65 y mas años (006)",4516,176,117,38,4187
"Hombres (008)",41638,9367,6888,922,24564
"Menos de 1 año (009)",1099,539,86,9,465
"De 1 a 14 años (010)",14948,7128,1269,168,6394
"De 15 a 29 años (011)",10748,999,2267,320,7201
"De 30 a 44 años (012)",7995,367,2490,286,4889
"De 45 a 64 años (013)",4723,244,714,116,3663
"De 65 y mas años (014)",2125,90,62,23,1952
"Mujeres (016)",36745,9415,3083,436,23829
"Menos de 1 año (017)",961,457,77,7,420
"De 1 a 14 años (018)",14247,6674,1293,173,6115
"De 15 a 29 años (019)",8662,1205,660,102,6698
"De 30 a 44 años (020)",6154,684,719,97,4659
"De 45 a 64 años (021)",4330,309,279,42,3702
"De 65 y mas años (022)",2391,86,55,15,2235
,,,,,
"URBANA (024)",20462,2300,5122,819,12282
"Menos de 1 año (025)",437,110,91,11,225
"De 1 a 14 años (026)",6689,1556,1479,249,3412
"De 15 a 29 años (027)",5720,395,1419,216,3722
"De 30 a 44 años (028)",4283,150,1523,223,2404
"De 45 a 64 años (029)",2324,69,532,94,1634
"De 65 y mas años (030)",1009,20,78,26,885
"Hombres (032)",10823,1177,3209,505,5988
"Menos de 1 año (033)",227,63,46,5,113
"De 1 a 14 años (034)",3377,809,730,123,1720
"De 15 a 29 años (035)",3139,202,1004,150,1815
"De 30 a 44 años (036)",2393,61,1054,147,1146
"De 45 a 64 años (037)",1226,34,338,65,793
"De 65 y mas años (038)",461,8,37,15,401
"Mujeres (040)",9639,1123,1913,314,6294
"Menos de 1 año (041)",210,47,45,6,112
"De 1 a 14 años (042)",3312,747,749,126,1692
"De 15 a 29 años (043)",2581,193,415,66,1907
"De 30 a 44 años (044)",1890,89,469,76,1258
"De 45 a 64 años (045)",1098,35,194,29,841
"De 65 y mas años (046)",548,12,41,11,484
,,,,,
"RURAL (048)",57921,16482,4849,539,36111
"Menos de 1 año (049)",1623,886,72,5,660
"De 1 a 14 años (050)",22506,12246,1083,92,9097
"De 15 a 29 años (051)",13690,1809,1508,206,10177
"De 30 a 44 años (052)",9866,901,1686,160,7144
"De 45 a 64 años (053)",6729,484,461,64,5731
"De 65 y mas años (054)",3507,156,39,12,3302
"Hombres (056)",30815,8190,3679,417,18576
"Menos de 1 año (057)",872,476,40,4,352
"De 1 a 14 años (058)",11571,6319,539,45,4674
"De 15 a 29 años (059)",7609,797,1263,170,5386
"De 30 a 44 años (060)",5602,306,1436,139,3743
"De 45 a 64 años (061)",3497,210,376,51,2870
"De 65 y mas años (062)",1664,82,25,8,1551
"Mujeres (064)",27106,8292,1170,122,17535
"Menos de 1 año (065)",751,410,32,1,308
"De 1 a 14 años (066)",10935,5927,544,47,4423
"De 15 a 29 años (067)",6081,1012,245,36,4791
"De 30 a 44 años (068)",4264,595,250,21,3401
"De 45 a 64 años (069)",3232,274,85,13,2861
"De 65 y mas años (070)",1843,74,14,4,1751
