"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MANU (000)",305,5,192,76,29,3
"Conviviente (001)",125,,59,51,15,
"Separado(a) (002)",22,,10,11,1,
"Casado(a) (003)",18,,4,7,6,1
"Viudo(a) (004)",2,,,,2,
"Divorciado(a) (005)",1,,,1,,
"Soltero(a) (006)",137,5,119,6,5,2
"Hombres (008)",256,4,154,69,26,3
"Conviviente (009)",100,,40,47,13,
"Separado(a) (010)",18,,8,9,1,
"Casado(a) (011)",14,,1,6,6,1
"Viudo(a) (012)",2,,,,2,
"Divorciado(a) (013)",1,,,1,,
"Soltero(a) (014)",121,4,105,6,4,2
"Mujeres (016)",49,1,38,7,3,
"Conviviente (017)",25,,19,4,2,
"Separado(a) (018)",4,,2,2,,
"Casado(a) (019)",4,,3,1,,
"Soltero(a) (022)",16,1,14,,1,
,,,,,,
"AREA URBANA (024)",64,2,33,16,12,1
"Conviviente (025)",31,,11,12,8,
"Separado(a) (026)",2,,1,1,,
"Casado(a) (027)",9,,3,1,4,1
"Soltero(a) (030)",22,2,18,2,,
"Hombres (032)",49,2,22,14,10,1
"Conviviente (033)",23,,7,10,6,
"Separado(a) (034)",1,,,1,,
"Casado(a) (035)",7,,1,1,4,1
"Soltero(a) (038)",18,2,14,2,,
"Mujeres (040)",15,,11,2,2,
"Conviviente (041)",8,,4,2,2,
"Separado(a) (042)",1,,1,,,
"Casado(a) (043)",2,,2,,,
"Soltero(a) (046)",4,,4,,,
,,,,,,
"AREA RURAL (048)",241,3,159,60,17,2
"Conviviente (049)",94,,48,39,7,
"Separado(a) (050)",20,,9,10,1,
"Casado(a) (051)",9,,1,6,2,
"Viudo(a) (052)",2,,,,2,
"Divorciado(a) (053)",1,,,1,,
"Soltero(a) (054)",115,3,101,4,5,2
"Hombres (056)",207,2,132,55,16,2
"Conviviente (057)",77,,33,37,7,
"Separado(a) (058)",17,,8,8,1,
"Casado(a) (059)",7,,,5,2,
"Viudo(a) (060)",2,,,,2,
"Divorciado(a) (061)",1,,,1,,
"Soltero(a) (062)",103,2,91,4,4,2
"Mujeres (064)",34,1,27,5,1,
"Conviviente (065)",17,,15,2,,
"Separado(a) (066)",3,,1,2,,
"Casado(a) (067)",2,,1,1,,
"Soltero(a) (070)",12,1,10,,1,
