"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ASCOPE (000)",577,577,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",77,77,
"Casa pensión (003)",105,105,
"Hospital, clinica (004)",153,153,
"Cárcel, centro de readaptación social (005)",9,9,
"Otro (008)",196,196,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",37,37,
