"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia DOS DE MAYO (000)",24617,3674,8046,6553,6344
"Asiste actualmente (001)",16602,1097,7409,5839,2257
"No asiste (002)",8015,2577,637,714,4087
"Hombres (004)",12463,1888,4062,3360,3153
"Asiste actualmente (005)",8652,569,3760,3029,1294
"No asiste (006)",3811,1319,302,331,1859
"Mujeres (008)",12154,1786,3984,3193,3191
"Asiste actualmente (009)",7950,528,3649,2810,963
"No asiste (010)",4204,1258,335,383,2228
,,,,,
"URBANA (012)",8235,1137,2548,2305,2245
"Asiste actualmente (013)",6013,439,2428,2153,993
"No asiste (014)",2222,698,120,152,1252
"Hombres (016)",4167,574,1306,1179,1108
"Asiste actualmente (017)",3097,222,1240,1098,537
"No asiste (018)",1070,352,66,81,571
"Mujeres (020)",4068,563,1242,1126,1137
"Asiste actualmente (021)",2916,217,1188,1055,456
"No asiste (022)",1152,346,54,71,681
,,,,,
"RURAL (024)",16382,2537,5498,4248,4099
"Asiste actualmente (025)",10589,658,4981,3686,1264
"No asiste (026)",5793,1879,517,562,2835
"Hombres (028)",8296,1314,2756,2181,2045
"Asiste actualmente (029)",5555,347,2520,1931,757
"No asiste (030)",2741,967,236,250,1288
"Mujeres (032)",8086,1223,2742,2067,2054
"Asiste actualmente (033)",5034,311,2461,1755,507
"No asiste (034)",3052,912,281,312,1547
