"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BOLOGNESI (000)",28998,3305,3304,1149,21295
"Quechua (001)",4473,319,291,110,3756
"Aymara (002)",19,3,5,1,10
"Asháninka (003)",6,3,,4,
"Otra lengua nativa (004)",87,9,10,5,63
"Castellano (005)",24374,2967,2996,1027,17435
"Idioma Extranjero (006)",10,,2,1,7
"Es Sordomudo/a (007)",29,4,,1,24
"Hombres (009)",15113,1584,2147,847,10579
"Quechua (010)",2079,143,221,89,1629
"Aymara (011)",9,1,5,1,2
"Asháninka (012)",3,1,,2,
"Otra lengua nativa (013)",52,5,7,3,37
"Castellano (014)",12947,1433,1912,751,8892
"Idioma Extranjero (015)",6,,2,1,3
"Es Sordomudo/a (016)",17,1,,,16
"Mujeres (018)",13885,1721,1157,302,10716
"Quechua (019)",2394,176,70,21,2127
"Aymara (020)",10,2,,,8
"Asháninka (021)",3,2,,2,
"Otra lengua nativa (022)",35,4,3,2,26
"Castellano (023)",11427,1534,1084,276,8543
"Idioma Extranjero (024)",4,,,,4
"Es Sordomudo/a (025)",12,3,,1,8
,,,,,
"URBANA (027)",18349,2045,2321,845,13164
"Quechua (028)",1935,94,129,57,1657
"Aymara (029)",12,3,2,1,6
"Asháninka (030)",4,1,,4,
"Otra lengua nativa (031)",86,9,9,5,63
"Castellano (032)",16289,1937,2181,778,11416
"Idioma Extranjero (033)",7,,,,7
"Es Sordomudo/a (034)",16,1,,,15
"Hombres (036)",9300,984,1284,589,6460
"Quechua (037)",839,42,77,42,680
"Aymara (038)",5,1,2,1,1
"Asháninka (039)",2,,,2,
"Otra lengua nativa (040)",51,5,6,3,37
"Castellano (041)",8389,935,1199,541,5729
"Idioma Extranjero (042)",3,,,,3
"Es Sordomudo/a (043)",11,1,,,10
"Mujeres (045)",9049,1061,1037,256,6704
"Quechua (046)",1096,52,52,15,977
"Aymara (047)",7,2,,,5
"Asháninka (048)",2,1,,2,
"Otra lengua nativa (049)",35,4,3,2,26
"Castellano (050)",7900,1002,982,237,5687
"Idioma Extranjero (051)",4,,,,4
"Es Sordomudo/a (052)",5,,,,5
,,,,,
"RURAL (054)",10649,1260,983,304,8131
"Quechua (055)",2538,225,162,53,2099
"Aymara (056)",7,,3,,4
"Asháninka (057)",2,2,,,
"Otra lengua nativa (058)",1,,1,,
"Castellano (059)",8085,1030,815,249,6019
"Idioma Extranjero (060)",3,,2,1,
"Es Sordomudo/a (061)",13,3,,1,9
"Hombres (063)",5813,600,863,258,4119
"Quechua (064)",1240,101,144,47,949
"Aymara (065)",4,,3,,1
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",1,,1,,
"Castellano (068)",4558,498,713,210,3163
"Idioma Extranjero (069)",3,,2,1,
"Es Sordomudo/a (070)",6,,,,6
"Mujeres (072)",4836,660,120,46,4012
"Quechua (073)",1298,124,18,6,1150
"Aymara (074)",3,,,,3
"Asháninka (075)",1,1,,,
"Castellano (077)",3527,532,102,39,2856
"Es Sordomudo/a (079)",7,3,,1,3
