"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANAS (000)",9629,79,2515,3376,2763,896
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",25,,3,13,9,
"Profes., científicos e intelectuales (002)",458,,100,239,117,2
"Técnicos de nivel medio y trab.asimilados (003)",85,,34,39,9,3
"Jefes y empleados de oficina (004)",135,,40,66,29,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",404,8,122,176,85,13
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4148,5,715,1381,1440,607
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",372,4,121,137,91,19
"Obreros construc., conf., papel, fab., instr. (008)",370,1,118,170,77,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2897,56,938,923,774,206
"Otra (010)",20,,5,11,4,
"Ocupación no especificada (011)",214,,57,75,51,31
"Desocupado (012)",501,5,262,146,77,11
"Hombres (013)",6251,51,1589,2250,1781,580
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",20,,1,11,8,
"Profes., científicos e intelectuales (015)",313,,57,167,89,
"Técnicos de nivel medio y trab.asimilados (016)",61,,28,25,6,2
"Jefes y empleados de oficina (017)",106,,22,58,26,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",135,3,38,54,35,5
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3139,5,503,1083,1097,451
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",322,3,103,119,82,15
"Obreros construc., conf., papel, fab., instr. (021)",358,,113,166,75,4
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1263,38,484,393,271,77
"Otra (023)",19,,5,11,3,
"Ocupación no especificada (024)",97,,28,33,21,15
"Desocupado (025)",418,2,207,130,68,11
"Mujeres (026)",3378,28,926,1126,982,316
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,,2,2,1,
"Profes., científicos e intelectuales (028)",145,,43,72,28,2
"Técnicos de nivel medio y trab.asimilados (029)",24,,6,14,3,1
"Jefes y empleados de oficina (030)",29,,18,8,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",269,5,84,122,50,8
"Agricult.trabaj. calif. agrop. y pesqueros (032)",1009,,212,298,343,156
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",50,1,18,18,9,4
"Obreros construc., conf., papel, fab., instr. (034)",12,1,5,4,2,
