"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TRUJILLO (000)",177643,160065,17578
"Red pública dentro de la vivienda (001)",139480,134429,5051
"Red pública fuera de la vivienda (002)",10182,9157,1025
"Pilón de uso público (003)",3563,2390,1173
"Camión - cisterna u otro similar (004)",6523,3512,3011
"Pozo (005)",8640,5679,2961
"Río, acequia, manatial o similar (006)",353,185,168
"Vecino (007)",6970,3639,3331
"Otro (008)",1932,1074,858
,,,
"URBANA (010)",173046,157318,15728
"Red pública dentro de la vivienda (011)",137364,132970,4394
"Red pública fuera de la vivienda (012)",9590,8823,767
"Pilón de uso público (013)",3388,2352,1036
"Camión - cisterna u otro similar (014)",6419,3487,2932
"Pozo (015)",7575,5021,2554
"Río, acequia, manatial o similar (016)",84,56,28
"Vecino (017)",6727,3545,3182
"Otro (018)",1899,1064,835
,,,
"RURAL (020)",4597,2747,1850
"Red pública dentro de la vivienda (021)",2116,1459,657
"Red pública fuera de la vivienda (022)",592,334,258
"Pilón de uso público (023)",175,38,137
"Camión - cisterna u otro similar (024)",104,25,79
"Pozo (025)",1065,658,407
"Río, acequia, manatial o similar (026)",269,129,140
"Vecino (027)",243,94,149
"Otro (028)",33,10,23
