"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MELGAR (000)",19325,18325,127,3562,3569,2802,4301,2561,1096,307,1000,67027
"De 12 a 14 años (001)",25,13,1,9,3,,,,,,12,15
"De 15 a 19 años (002)",426,374,8,327,32,3,4,,,,52,416
"De 20 a 24 años (003)",1941,1586,25,990,440,103,27,1,,,355,2294
"De 25 a 29 años (004)",2336,2066,15,767,692,370,207,14,1,,270,4232
"De 30 a 34 años (005)",2343,2228,15,420,701,513,470,100,9,,115,6116
"De 35 a 39 años (006)",2248,2191,9,265,483,470,644,243,69,8,57,7656
"De 40 a 44 años (007)",2040,2014,8,158,335,356,648,336,137,36,26,8459
"De 45 a 49 años (008)",1633,1615,3,122,207,249,488,356,157,33,18,7414
"De 50 y más años (009)",6333,6238,43,504,676,738,1813,1511,723,230,95,30425
"PEA (010)",8785,8348,54,1595,1699,1309,1946,1166,446,133,437,30145
"De 12 a 14 años (011)",5,3,,3,,,,,,,2,3
"De 15 a 19 años (012)",142,134,3,118,10,2,1,,,,8,148
"De 20 a 24 años (013)",761,622,10,393,165,46,7,1,,,139,896
"De 25 a 29 años (014)",1012,873,5,326,285,159,90,8,,,139,1797
"De 30 a 34 años (015)",1113,1051,9,217,351,222,196,52,4,,62,2794
"De 35 a 39 años (016)",1177,1138,4,171,277,231,307,126,20,2,39,3746
"De 40 a 44 años (017)",1087,1070,6,102,208,199,320,163,57,15,17,4215
"De 45 a 49 años (018)",890,882,1,70,115,147,269,189,71,20,8,3959
"De 50 y más años (019)",2598,2575,16,195,288,303,756,627,294,96,23,12587
"Ocupada (020)",8495,8112,45,1504,1644,1284,1910,1153,440,132,383,29568
"De 12 a 14 años (021)",5,3,,3,,,,,,,2,3
