"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",996,7,547,270,136,36
"Sin nivel (001)",27,1,1,10,10,5
"Educación inicial (002)",1,,1,,,
"Primaria (003)",168,5,39,51,47,26
"Secundaria (004)",457,1,302,104,46,4
"Superior no univ. incompleta (005)",104,,74,25,5,
"Superior no univ. completa (006)",133,,77,45,11,
"Superior univ. incompleta (007)",46,,28,14,4,
"Superior univ. completa (008)",60,,25,21,13,1
"Hombres (010)",736,6,371,211,115,33
"Sin nivel (011)",17,,1,5,6,5
"Primaria (013)",133,5,26,37,41,24
"Secundaria (014)",342,1,218,80,40,3
"Superior no univ. incompleta (015)",78,,50,23,5,
"Superior no univ. completa (016)",91,,47,37,7,
"Superior univ. incompleta (017)",33,,17,12,4,
"Superior univ. completa (018)",42,,12,17,12,1
"Mujeres (020)",260,1,176,59,21,3
"Sin nivel (021)",10,1,,5,4,
"Educación inicial (022)",1,,1,,,
"Primaria (023)",35,,13,14,6,2
"Secundaria (024)",115,,84,24,6,1
"Superior no univ. incompleta (025)",26,,24,2,,
"Superior no univ. completa (026)",42,,30,8,4,
"Superior univ. incompleta (027)",13,,11,2,,
"Superior univ. completa (028)",18,,13,4,1,
,,,,,,
"Area Urbana (030)",328,2,176,97,48,5
"Sin nivel (031)",6,,,3,2,1
"Primaria (033)",41,1,9,15,14,2
"Secundaria (034)",137,1,79,37,18,2
"Superior no univ. incompleta (035)",35,,28,6,1,
"Superior no univ. completa (036)",60,,38,16,6,
"Superior univ. incompleta (037)",20,,10,8,2,
"Superior univ. completa (038)",29,,12,12,5,
"Hombres (040)",225,2,115,68,36,4
"Sin nivel (041)",4,,,2,1,1
"Primaria (043)",26,1,4,9,10,2
"Secundaria (044)",103,1,61,25,15,1
"Superior no univ. incompleta (045)",21,,16,4,1,
"Superior no univ. completa (046)",42,,27,12,3,
"Superior univ. incompleta (047)",11,,3,6,2,
"Superior univ. completa (048)",18,,4,10,4,
"Mujeres (050)",103,,61,29,12,1
"Sin nivel (051)",2,,,1,1,
"Primaria (053)",15,,5,6,4,
"Secundaria (054)",34,,18,12,3,1
"Superior no univ. incompleta (055)",14,,12,2,,
"Superior no univ. completa (056)",18,,11,4,3,
"Superior univ. incompleta (057)",9,,7,2,,
"Superior univ. completa (058)",11,,8,2,1,
,,,,,,
"Area Rural (060)",668,5,371,173,88,31
"Sin nivel (061)",21,1,1,7,8,4
"Educación inicial (062)",1,,1,,,
"Primaria (063)",127,4,30,36,33,24
"Secundaria (064)",320,,223,67,28,2
"Superior no univ. incompleta (065)",69,,46,19,4,
"Superior no univ. completa (066)",73,,39,29,5,
"Superior univ. incompleta (067)",26,,18,6,2,
"Superior univ. completa (068)",31,,13,9,8,1
"Hombres (070)",511,4,256,143,79,29
"Sin nivel (071)",13,,1,3,5,4
"Primaria (073)",107,4,22,28,31,22
"Secundaria (074)",239,,157,55,25,2
"Superior no univ. incompleta (075)",57,,34,19,4,
"Superior no univ. completa (076)",49,,20,25,4,
"Superior univ. incompleta (077)",22,,14,6,2,
"Superior univ. completa (078)",24,,8,7,8,1
"Mujeres (080)",157,1,115,30,9,2
"Sin nivel (081)",8,1,,4,3,
"Educación inicial (082)",1,,1,,,
"Primaria (083)",20,,8,8,2,2
"Secundaria (084)",81,,66,12,3,
"Superior no univ. incompleta (085)",12,,12,,,
"Superior no univ. completa (086)",24,,19,4,1,
"Superior univ. incompleta (087)",4,,4,,,
"Superior univ. completa (088)",7,,5,2,,
