"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ATALAYA (000)",12462,1807,3339,3942,248,2915,211
"Conviviente (001)",7591,784,2100,2451,150,2046,60
"Separado(a) (002)",396,54,110,160,8,48,16
"Casado(a) (003)",1641,442,281,668,37,195,18
"Viudo(a) (004)",255,12,54,115,6,57,11
"Divorciado(a) (005)",56,9,22,16,1,7,1
"Soltero(a) (006)",2523,506,772,532,46,562,105
"Hombres (008)",8582,1133,2627,2924,202,1665,31
"Conviviente (009)",5273,512,1631,1873,124,1127,6
"Separado(a) (010)",210,27,71,86,4,22,
"Casado(a) (011)",1085,302,199,479,34,67,4
"Viudo(a) (012)",138,5,36,58,2,35,2
"Divorciado(a) (013)",41,5,18,13,1,4,
"Soltero(a) (014)",1835,282,672,415,37,410,19
"Mujeres (016)",3880,674,712,1018,46,1250,180
"Conviviente (017)",2318,272,469,578,26,919,54
"Separado(a) (018)",186,27,39,74,4,26,16
"Casado(a) (019)",556,140,82,189,3,128,14
"Viudo(a) (020)",117,7,18,57,4,22,9
"Divorciado(a) (021)",15,4,4,3,,3,1
"Soltero(a) (022)",688,224,100,117,9,152,86
,,,,,,,
"URBANA (024)",5346,1501,1325,1877,176,297,170
"Conviviente (025)",2548,613,704,962,95,126,48
"Separado(a) (026)",208,46,53,85,7,4,13
"Casado(a) (027)",1114,384,167,445,32,69,17
"Viudo(a) (028)",77,10,16,38,3,2,8
"Divorciado(a) (029)",28,7,10,10,1,,
"Soltero(a) (030)",1371,441,375,337,38,96,84
"Hombres (032)",3567,923,1110,1258,140,122,14
"Conviviente (033)",1729,396,578,648,74,31,2
"Separado(a) (034)",104,22,35,44,3,,
"Casado(a) (035)",736,262,135,288,29,19,3
"Viudo(a) (036)",31,3,9,16,1,,2
"Divorciado(a) (037)",21,4,9,7,1,,
"Soltero(a) (038)",946,236,344,255,32,72,7
"Mujeres (040)",1779,578,215,619,36,175,156
"Conviviente (041)",819,217,126,314,21,95,46
"Separado(a) (042)",104,24,18,41,4,4,13
"Casado(a) (043)",378,122,32,157,3,50,14
"Viudo(a) (044)",46,7,7,22,2,2,6
"Divorciado(a) (045)",7,3,1,3,,,
"Soltero(a) (046)",425,205,31,82,6,24,77
,,,,,,,
"RURAL (048)",7116,306,2014,2065,72,2618,41
"Conviviente (049)",5043,171,1396,1489,55,1920,12
"Separado(a) (050)",188,8,57,75,1,44,3
"Casado(a) (051)",527,58,114,223,5,126,1
"Viudo(a) (052)",178,2,38,77,3,55,3
"Divorciado(a) (053)",28,2,12,6,,7,1
"Soltero(a) (054)",1152,65,397,195,8,466,21
"Hombres (056)",5015,210,1517,1666,62,1543,17
"Conviviente (057)",3544,116,1053,1225,50,1096,4
"Separado(a) (058)",106,5,36,42,1,22,
"Casado(a) (059)",349,40,64,191,5,48,1
"Viudo(a) (060)",107,2,27,42,1,35,
"Divorciado(a) (061)",20,1,9,6,,4,
"Soltero(a) (062)",889,46,328,160,5,338,12
"Mujeres (064)",2101,96,497,399,10,1075,24
"Conviviente (065)",1499,55,343,264,5,824,8
"Separado(a) (066)",82,3,21,33,,22,3
"Casado(a) (067)",178,18,50,32,,78,
"Viudo(a) (068)",71,,11,35,2,20,3
"Divorciado(a) (069)",8,1,3,,,3,1
"Soltero(a) (070)",263,19,69,35,3,128,9
