"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PISCO (000)",118084,8534,3041,32818,46835,6855,10447,3845,5709
"Quechua (001)",5004,989,22,2324,1305,106,131,57,70
"Aymara (002)",163,14,1,57,65,11,7,2,6
"Ashaninca (003)",21,2,,9,3,1,3,2,1
"Otra lengua nativa (004)",30,2,2,6,15,5,,,
"Castellano (005)",112649,7449,3010,30394,45419,6729,10302,3776,5570
"Idioma extranjero (006)",90,1,,1,15,2,2,8,61
"Es sordomudo/a (007)",127,77,6,27,13,1,2,,1
"Hombres (009)",60165,3722,1583,15999,24957,3449,5162,2146,3147
"Quechua (010)",2420,187,7,1135,855,66,82,44,44
"Aymara (011)",94,2,,31,43,6,7,1,4
"Ashaninca (012)",13,1,,5,2,1,2,2,
"Otra lengua nativa (013)",21,2,2,4,8,5,,,
"Castellano (014)",57494,3490,1573,14805,24034,3369,5068,2093,3062
"Idioma extranjero (015)",55,,,1,9,1,1,6,37
"Es sordomudo/a (016)",68,40,1,18,6,1,2,,
"Mujeres (018)",57919,4812,1458,16819,21878,3406,5285,1699,2562
"Quechua (019)",2584,802,15,1189,450,40,49,13,26
"Aymara (020)",69,12,1,26,22,5,,1,2
"Ashaninca (021)",8,1,,4,1,,1,,1
"Otra lengua nativa (022)",9,,,2,7,,,,
"Castellano (023)",55155,3959,1437,15589,21385,3360,5234,1683,2508
"Idioma extranjero (024)",35,1,,,6,1,1,2,24
"Es sordomudo/a (025)",59,37,5,9,7,,,,1
,,,,,,,,,
"URBANA (027)",103466,7059,2668,27724,41100,6235,9679,3609,5392
"Quechua (028)",4038,729,16,1863,1089,97,127,53,64
"Aymara (029)",135,9,1,46,57,11,6,1,4
"Ashaninca (030)",19,1,,9,3,,3,2,1
"Otra lengua nativa (031)",23,2,1,6,13,1,,,
"Castellano (032)",99053,6250,2645,25774,39912,6124,9539,3545,5264
"Idioma extranjero (033)",87,1,,1,15,2,2,8,58
"Es sordomudo/a (034)",111,67,5,25,11,,2,,1
"Hombres (036)",52328,3145,1359,13350,21693,3094,4744,2006,2937
"Quechua (037)",1937,131,4,873,708,58,81,42,40
"Aymara (038)",79,2,,21,41,6,6,1,2
"Ashaninca (039)",12,1,,5,2,,2,2,
"Otra lengua nativa (040)",15,2,1,4,7,1,,,
"Castellano (041)",50174,2974,1353,12429,20922,3028,4652,1955,2861
"Idioma extranjero (042)",52,,,1,9,1,1,6,34
"Es sordomudo/a (043)",59,35,1,17,4,,2,,
"Mujeres (045)",51138,3914,1309,14374,19407,3141,4935,1603,2455
"Quechua (046)",2101,598,12,990,381,39,46,11,24
"Aymara (047)",56,7,1,25,16,5,,,2
"Ashaninca (048)",7,,,4,1,,1,,1
"Otra lengua nativa (049)",8,,,2,6,,,,
"Castellano (050)",48879,3276,1292,13345,18990,3096,4887,1590,2403
"Idioma extranjero (051)",35,1,,,6,1,1,2,24
"Es sordomudo/a (052)",52,32,4,8,7,,,,1
,,,,,,,,,
"RURAL (054)",14618,1475,373,5094,5735,620,768,236,317
"Quechua (055)",966,260,6,461,216,9,4,4,6
"Aymara (056)",28,5,,11,8,,1,1,2
"Ashaninca (057)",2,1,,,,1,,,
"Otra lengua nativa (058)",7,,1,,2,4,,,
"Castellano (059)",13596,1199,365,4620,5507,605,763,231,306
"Idioma extranjero (060)",3,,,,,,,,3
"Es sordomudo/a (061)",16,10,1,2,2,1,,,
"Hombres (063)",7837,577,224,2649,3264,355,418,140,210
"Quechua (064)",483,56,3,262,147,8,1,2,4
"Aymara (065)",15,,,10,2,,1,,2
"Ashaninca (066)",1,,,,,1,,,
"Otra lengua nativa (067)",6,,1,,1,4,,,
"Castellano (068)",7320,516,220,2376,3112,341,416,138,201
"Idioma extranjero (069)",3,,,,,,,,3
"Es sordomudo/a (070)",9,5,,1,2,1,,,
"Mujeres (072)",6781,898,149,2445,2471,265,350,96,107
"Quechua (073)",483,204,3,199,69,1,3,2,2
"Aymara (074)",13,5,,1,6,,,1,
"Ashaninca (075)",1,1,,,,,,,
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",6276,683,145,2244,2395,264,347,93,105
"Es sordomudo/a (079)",7,5,1,1,,,,,
