"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LAMAS (000)",37520,5510,10821,9840,11349
"Asiste actualmente (001)",19842,1700,9867,6598,1677
"No asiste (002)",17678,3810,954,3242,9672
"Hombres (004)",19479,2707,5498,5247,6027
"Asiste actualmente (005)",10411,834,5025,3555,997
"No asiste (006)",9068,1873,473,1692,5030
"Mujeres (008)",18041,2803,5323,4593,5322
"Asiste actualmente (009)",9431,866,4842,3043,680
"No asiste (010)",8610,1937,481,1550,4642
,,,,,
"URBANA (012)",16800,2230,4551,4833,5186
"Asiste actualmente (013)",10197,870,4273,3845,1209
"No asiste (014)",6603,1360,278,988,3977
"Hombres (016)",8574,1099,2295,2488,2692
"Asiste actualmente (017)",5213,440,2147,1969,657
"No asiste (018)",3361,659,148,519,2035
"Mujeres (020)",8226,1131,2256,2345,2494
"Asiste actualmente (021)",4984,430,2126,1876,552
"No asiste (022)",3242,701,130,469,1942
,,,,,
"RURAL (024)",20720,3280,6270,5007,6163
"Asiste actualmente (025)",9645,830,5594,2753,468
"No asiste (026)",11075,2450,676,2254,5695
"Hombres (028)",10905,1608,3203,2759,3335
"Asiste actualmente (029)",5198,394,2878,1586,340
"No asiste (030)",5707,1214,325,1173,2995
"Mujeres (032)",9815,1672,3067,2248,2828
"Asiste actualmente (033)",4447,436,2716,1167,128
"No asiste (034)",5368,1236,351,1081,2700
