"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTIAGO DE CHUCO (000)",15421,10449,730,804,3438
"Agric., ganadería, caza y silvicultura (001)",7011,6838,123,8,42
"Pesca (002)",2,1,,,1
"Explotación de minas y canteras (003)",2708,226,122,188,2172
"Industrias manufactureras (004)",497,393,37,26,41
"Suministro de electricidad, gas y agua (005)",13,1,1,8,3
"Construcción (006)",922,459,163,180,120
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",927,844,44,15,24
"Venta, mant.y rep. veh.autom y motoc. (008)",75,35,8,8,24
"Comercio al por mayor (009)",58,52,5,1,
"Comercio al por menor (010)",794,757,31,6,
"Hoteles y restaurantes (011)",332,282,20,16,14
"Trans., almac. y comunicaciones (012)",340,196,31,43,70
"Intermediación financiera (013)",11,8,3,,
"Activid.inmobil., empres. y alquileres (014)",271,60,20,41,150
"Admin.pub. y defensa; p. segur soc.afil (015)",425,,,,425
"Enseñanza (016)",840,240,139,251,210
"Servicios sociales y de salud (017)",121,23,2,2,94
"Otras activ. serv.comun.soc y personales (018)",152,127,6,10,9
"Hogares privados con servicio doméstico (019)",315,315,,,
"Actividad economica no especificada (021)",534,436,19,16,63
"Hombres (022)",12687,8381,613,650,3043
"Agric., ganadería, caza y silvicultura (023)",6583,6422,116,6,39
"Pesca (024)",2,1,,,1
"Explotación de minas y canteras (025)",2607,223,118,186,2080
"Industrias manufactureras (026)",365,269,31,25,40
"Suministro de electricidad, gas y agua (027)",11,,1,8,2
"Construcción (028)",893,453,162,161,117
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",505,433,35,13,24
"Venta, mant.y rep. veh.autom y motoc. (030)",73,33,8,8,24
"Comercio al por mayor (031)",38,32,5,1,
"Comercio al por menor (032)",394,368,22,4,
"Hoteles y restaurantes (033)",76,48,6,11,11
"Trans., almac. y comunicaciones (034)",321,185,30,39,67
"Intermediación financiera (035)",8,6,2,,
"Activid.inmobil., empres. y alquileres (036)",233,40,17,34,142
"Admin.pub. y defensa; p. segur soc.afil (037)",281,,,,281
"Enseñanza (038)",468,103,81,149,135
"Servicios sociales y de salud (039)",54,14,1,1,38
"Otras activ. serv.comun.soc y personales (040)",50,33,3,7,7
"Hogares privados con servicio doméstico (041)",12,12,,,
