"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RECUAY (000)",5493,5255,29,980,951,768,1238,776,375,138,238,20288
"De 12 a 14 años (001)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (002)",86,81,4,68,7,2,,,,,5,88
"De 20 a 24 años (003)",416,356,3,233,96,23,1,,,,60,498
"De 25 a 29 años (004)",578,503,1,228,172,65,35,2,,,75,929
"De 30 a 34 años (005)",510,483,2,119,155,113,84,8,2,,27,1203
"De 35 a 39 años (006)",567,547,1,84,147,127,142,39,6,1,20,1675
"De 40 a 44 años (007)",529,522,2,45,100,108,178,67,18,4,7,1979
"De 45 a 49 años (008)",461,450,2,32,58,77,149,99,23,10,11,1992
"De 50 y más años (009)",2343,2312,14,170,216,253,649,561,326,123,31,11923
"PEA (010)",1255,1155,9,280,273,177,230,112,59,15,100,3753
"De 15 a 19 años (012)",12,12,1,8,3,,,,,,,14
"De 20 a 24 años (013)",90,69,2,39,23,5,,,,,21,100
"De 25 a 29 años (014)",172,137,1,79,41,12,4,,,,35,214
"De 30 a 34 años (015)",160,143,1,51,48,29,12,1,1,,17,299
"De 35 a 39 años (016)",167,155,1,33,57,32,27,4,,1,12,394
"De 40 a 44 años (017)",147,145,,19,37,32,37,16,2,2,2,493
"De 45 a 49 años (018)",131,124,1,15,20,19,46,17,5,1,7,477
"De 50 y más años (019)",376,370,2,36,44,48,104,74,51,11,6,1762
"Ocupada (020)",1203,1112,9,259,263,172,225,110,59,15,91,3661
"De 15 a 19 años (022)",12,12,1,8,3,,,,,,,14
"De 20 a 24 años (023)",78,59,2,32,20,5,,,,,19,87
"De 25 a 29 años (024)",164,130,1,74,40,11,4,,,,34,204
