"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LA MAR (000)",56818,18167,2842,890,34952
"Conviviente (001)",13861,3538,778,210,9343
"Separado(a) (002)",1459,352,60,28,1019
"Casado(a) (003)",18816,5806,1026,302,11702
"Viudo(a) (004)",3300,775,101,34,2391
"Divorciado(a) (005)",206,48,13,11,135
"Soltero(a) (006)",19176,7648,864,305,10362
"Hombres (008)",29421,8455,1524,596,18869
"Conviviente (009)",6935,1397,407,146,4990
"Separado(a) (010)",415,56,19,20,320
"Casado(a) (011)",9540,2598,596,194,6167
"Viudo(a) (012)",866,172,29,3,663
"Divorciado(a) (013)",107,19,6,10,73
"Soltero(a) (014)",11558,4213,467,223,6656
"Mujeres (016)",27397,9712,1318,294,16083
"Conviviente (017)",6926,2141,371,64,4353
"Separado(a) (018)",1044,296,41,8,699
"Casado(a) (019)",9276,3208,430,108,5535
"Viudo(a) (020)",2434,603,72,31,1728
"Divorciado(a) (021)",99,29,7,1,62
"Soltero(a) (022)",7618,3435,397,82,3706
,,,,,
"URBANA (024)",24056,4983,1796,462,16832
"Conviviente (025)",6454,1046,510,100,4802
"Separado(a) (026)",709,112,38,13,546
"Casado(a) (027)",7066,1224,629,178,5047
"Viudo(a) (028)",1137,190,51,21,875
"Divorciado(a) (029)",102,13,9,5,75
"Soltero(a) (030)",8588,2398,559,145,5487
"Hombres (032)",12355,2266,955,290,8858
"Conviviente (033)",3185,378,263,60,2488
"Separado(a) (034)",181,16,13,10,142
"Casado(a) (035)",3613,523,363,122,2615
"Viudo(a) (036)",261,40,17,1,203
"Divorciado(a) (037)",48,3,3,4,38
"Soltero(a) (038)",5067,1306,296,93,3372
"Mujeres (040)",11701,2717,841,172,7974
"Conviviente (041)",3269,668,247,40,2314
"Separado(a) (042)",528,96,25,3,404
"Casado(a) (043)",3453,701,266,56,2432
"Viudo(a) (044)",876,150,34,20,672
"Divorciado(a) (045)",54,10,6,1,37
"Soltero(a) (046)",3521,1092,263,52,2115
,,,,,
"RURAL (048)",32762,13184,1046,428,18120
"Conviviente (049)",7407,2492,268,110,4541
"Separado(a) (050)",750,240,22,15,473
"Casado(a) (051)",11750,4582,397,124,6655
"Viudo(a) (052)",2163,585,50,13,1516
"Divorciado(a) (053)",104,35,4,6,60
"Soltero(a) (054)",10588,5250,305,160,4875
"Hombres (056)",17066,6189,569,306,10011
"Conviviente (057)",3750,1019,144,86,2502
"Separado(a) (058)",234,40,6,10,178
"Casado(a) (059)",5927,2075,233,72,3552
"Viudo(a) (060)",605,132,12,2,460
"Divorciado(a) (061)",59,16,3,6,35
"Soltero(a) (062)",6491,2907,171,130,3284
"Mujeres (064)",15696,6995,477,122,8109
"Conviviente (065)",3657,1473,124,24,2039
"Separado(a) (066)",516,200,16,5,295
"Casado(a) (067)",5823,2507,164,52,3103
"Viudo(a) (068)",1558,453,38,11,1056
"Divorciado(a) (069)",45,19,1,,25
"Soltero(a) (070)",4097,2343,134,30,1591
