"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia REQUENA (000)",22044,741,7459,7352,5049,1443
"Agric., ganadería, caza y silvicultura (001)",12496,489,3974,3696,3165,1172
"Pesca (002)",1219,17,418,471,269,44
"Explotación de minas y canteras (003)",7,,3,3,1,
"Industrias manufactureras (004)",545,15,192,209,108,21
"Suministro de electricidad, gas y agua (005)",30,3,7,9,10,1
"Construcción (006)",288,2,100,134,48,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1906,82,590,743,412,79
"Venta, mant.y rep. veh.autom.y motoc. (008)",80,4,29,32,13,2
"Comercio al por mayor (009)",73,,25,32,13,3
"Comercio al por menor (010)",1753,78,536,679,386,74
"Hoteles y restaurantes (011)",498,25,194,170,99,10
"Trans., almac. y comunicaciones (012)",525,16,287,153,63,6
"Intermediación financiera (013)",12,,2,5,5,
"Activid.inmobil., empres. y alquileres (014)",149,1,58,56,32,2
"Admin.pub. y defensa; p. segur.soc afil (015)",448,,119,211,112,6
"Enseñanza (016)",1491,,341,778,365,7
"Servicios sociales y de salud (017)",129,1,44,61,21,2
"Otras activ. serv.comun.soc y personales (018)",203,7,84,66,39,7
"Hogares privados con servicio doméstico (019)",590,22,320,150,78,20
"Actividad economica no especificada (021)",677,6,271,226,134,40
"Desocupado (022)",831,55,455,211,88,22
"Hombres (023)",15473,504,5204,5100,3547,1118
"Agric., ganadería, caza y silvicultura (024)",9480,343,3066,2825,2316,930
"Pesca (025)",1161,17,397,449,254,44
"Explotación de minas y canteras (026)",7,,3,3,1,
"Industrias manufactureras (027)",432,13,169,156,78,16
"Suministro de electricidad, gas y agua (028)",29,3,7,8,10,1
"Construcción (029)",283,2,97,132,48,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",995,51,308,369,212,55
"Venta, mant.y rep. veh.autom.y motoc. (031)",74,4,25,30,13,2
"Comercio al por mayor (032)",53,,17,22,11,3
"Comercio al por menor (033)",868,47,266,317,188,50
"Hoteles y restaurantes (034)",92,13,34,25,17,3
"Trans., almac. y comunicaciones (035)",506,16,276,148,60,6
"Intermediación financiera (036)",9,,2,4,3,
"Activid.inmobil., empres. y alquileres (037)",112,1,43,40,26,2
"Admin.pub. y defensa; p. segur.soc afil (038)",355,,91,163,95,6
"Enseñanza (039)",805,,154,411,235,5
"Servicios sociales y de salud (040)",77,1,25,37,14,
