"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",47383,6980,1008,17533,18320,1184,794,748,816
"Quechua (001)",28537,4356,335,11413,10776,564,399,322,372
"Aymara (002)",4439,732,84,1844,1568,53,49,42,67
"Ashaninca (003)",15,2,1,3,8,1,,,
"Otra lengua nativa (004)",24,1,1,9,10,1,2,,
"Castellano (005)",14328,1861,586,4258,5955,565,343,384,376
"Idioma extranjero (006)",1,,,,1,,,,
"Es sordomudo/a (007)",39,28,1,6,2,,1,,1
"Hombres (009)",25278,2713,529,8356,11273,778,534,497,598
"Quechua (010)",15047,1517,164,5326,6852,396,286,226,280
"Aymara (011)",2299,206,44,895,999,38,30,32,55
"Ashaninca (012)",9,1,,3,5,,,,
"Otra lengua nativa (013)",15,1,,5,7,1,1,,
"Castellano (014)",7884,971,321,2123,3409,343,216,239,262
"Es sordomudo/a (016)",24,17,,4,1,,1,,1
"Mujeres (018)",22105,4267,479,9177,7047,406,260,251,218
"Quechua (019)",13490,2839,171,6087,3924,168,113,96,92
"Aymara (020)",2140,526,40,949,569,15,19,10,12
"Ashaninca (021)",6,1,1,,3,1,,,
"Otra lengua nativa (022)",9,,1,4,3,,1,,
"Castellano (023)",6444,890,265,2135,2546,222,127,145,114
"Idioma extranjero (024)",1,,,,1,,,,
"Es sordomudo/a (025)",15,11,1,2,1,,,,
,,,,,,,,,
"URBANA (027)",31556,3540,715,10948,13444,988,607,621,693
"Quechua (028)",17307,1813,160,6634,7405,443,298,248,306
"Aymara (029)",1554,130,14,525,740,36,27,28,54
"Ashaninca (030)",14,1,1,3,8,1,,,
"Otra lengua nativa (031)",21,1,1,8,8,1,2,,
"Castellano (032)",12639,1583,538,3774,5281,507,279,345,332
"Idioma extranjero (033)",1,,,,1,,,,
"Es sordomudo/a (034)",20,12,1,4,1,,1,,1
"Hombres (036)",17051,1464,374,5121,8146,640,403,407,496
"Quechua (037)",9321,614,77,3019,4688,314,213,173,223
"Aymara (038)",842,24,6,233,474,23,16,21,45
"Ashaninca (039)",8,,,3,5,,,,
"Otra lengua nativa (040)",14,1,,5,6,1,1,,
"Castellano (041)",6857,820,291,1859,2973,302,172,213,227
"Es sordomudo/a (043)",9,5,,2,,,1,,1
"Mujeres (045)",14505,2076,341,5827,5298,348,204,214,197
"Quechua (046)",7986,1199,83,3615,2717,129,85,75,83
"Aymara (047)",712,106,8,292,266,13,11,7,9
"Ashaninca (048)",6,1,1,,3,1,,,
"Otra lengua nativa (049)",7,,1,3,2,,1,,
"Castellano (050)",5782,763,247,1915,2308,205,107,132,105
"Idioma extranjero (051)",1,,,,1,,,,
"Es sordomudo/a (052)",11,7,1,2,1,,,,
,,,,,,,,,
"RURAL (054)",15827,3440,293,6585,4876,196,187,127,123
"Quechua (055)",11230,2543,175,4779,3371,121,101,74,66
"Aymara (056)",2885,602,70,1319,828,17,22,14,13
"Ashaninca (057)",1,1,,,,,,,
"Otra lengua nativa (058)",3,,,1,2,,,,
"Castellano (059)",1689,278,48,484,674,58,64,39,44
"Es sordomudo/a (061)",19,16,,2,1,,,,
"Hombres (063)",8227,1249,155,3235,3127,138,131,90,102
"Quechua (064)",5726,903,87,2307,2164,82,73,53,57
"Aymara (065)",1457,182,38,662,525,15,14,11,10
"Ashaninca (066)",1,1,,,,,,,
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",1027,151,30,264,436,41,44,26,35
"Es sordomudo/a (070)",15,12,,2,1,,,,
"Mujeres (072)",7600,2191,138,3350,1749,58,56,37,21
"Quechua (073)",5504,1640,88,2472,1207,39,28,21,9
"Aymara (074)",1428,420,32,657,303,2,8,3,3
"Otra lengua nativa (076)",2,,,1,1,,,,
"Castellano (077)",662,127,18,220,238,17,20,13,9
"Es sordomudo/a (079)",4,4,,,,,,,
