"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PALLASCA (000)",7909,1322,2018,3333,62,1082,92
"Conviviente (001)",2541,352,764,1087,23,298,17
"Separado(a) (002)",147,27,31,77,3,6,3
"Casado(a) (003)",2651,503,537,1335,17,249,10
"Viudo(a) (004)",239,16,32,155,4,26,6
"Divorciado(a) (005)",19,5,4,7,,2,1
"Soltero(a) (006)",2312,419,650,672,15,501,55
"Hombres (008)",6280,785,1864,2772,59,797,3
"Conviviente (009)",2134,225,719,949,22,219,
"Separado(a) (010)",84,12,25,41,3,3,
"Casado(a) (011)",2181,346,498,1162,16,159,
"Viudo(a) (012)",141,6,19,106,4,6,
"Divorciado(a) (013)",14,3,4,5,,2,
"Soltero(a) (014)",1726,193,599,509,14,408,3
"Mujeres (016)",1629,537,154,561,3,285,89
"Conviviente (017)",407,127,45,138,1,79,17
"Separado(a) (018)",63,15,6,36,,3,3
"Casado(a) (019)",470,157,39,173,1,90,10
"Viudo(a) (020)",98,10,13,49,,20,6
"Divorciado(a) (021)",5,2,,2,,,1
"Soltero(a) (022)",586,226,51,163,1,93,52
,,,,,,,
"URBANA (024)",4347,1008,1248,1565,40,416,70
"Conviviente (025)",1313,260,459,453,13,112,16
"Separado(a) (026)",86,22,17,42,1,2,2
"Casado(a) (027)",1538,397,337,660,12,125,7
"Viudo(a) (028)",116,13,24,62,2,13,2
"Divorciado(a) (029)",14,5,3,4,,1,1
"Soltero(a) (030)",1280,311,408,344,12,163,42
"Hombres (032)",3237,603,1132,1183,37,280,2
"Conviviente (033)",1040,168,425,356,12,79,
"Separado(a) (034)",43,8,13,20,1,1,
"Casado(a) (035)",1202,280,306,535,11,70,
"Viudo(a) (036)",55,5,14,32,2,2,
"Divorciado(a) (037)",10,3,3,3,,1,
"Soltero(a) (038)",887,139,371,237,11,127,2
"Mujeres (040)",1110,405,116,382,3,136,68
"Conviviente (041)",273,92,34,97,1,33,16
"Separado(a) (042)",43,14,4,22,,1,2
"Casado(a) (043)",336,117,31,125,1,55,7
"Viudo(a) (044)",61,8,10,30,,11,2
"Divorciado(a) (045)",4,2,,1,,,1
"Soltero(a) (046)",393,172,37,107,1,36,40
,,,,,,,
"RURAL (048)",3562,314,770,1768,22,666,22
"Conviviente (049)",1228,92,305,634,10,186,1
"Separado(a) (050)",61,5,14,35,2,4,1
"Casado(a) (051)",1113,106,200,675,5,124,3
"Viudo(a) (052)",123,3,8,93,2,13,4
"Divorciado(a) (053)",5,,1,3,,1,
"Soltero(a) (054)",1032,108,242,328,3,338,13
"Hombres (056)",3043,182,732,1589,22,517,1
"Conviviente (057)",1094,57,294,593,10,140,
"Separado(a) (058)",41,4,12,21,2,2,
"Casado(a) (059)",979,66,192,627,5,89,
"Viudo(a) (060)",86,1,5,74,2,4,
"Divorciado(a) (061)",4,,1,2,,1,
"Soltero(a) (062)",839,54,228,272,3,281,1
"Mujeres (064)",519,132,38,179,,149,21
"Conviviente (065)",134,35,11,41,,46,1
"Separado(a) (066)",20,1,2,14,,2,1
"Casado(a) (067)",134,40,8,48,,35,3
"Viudo(a) (068)",37,2,3,19,,9,4
"Divorciado(a) (069)",1,,,1,,,
"Soltero(a) (070)",193,54,14,56,,57,12
