"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia BAGUA",,,,,,
"Viviendas particulares (001)",16885,16740,124,17,4,
"Ocupantes presentes (002)",71362,70074,1020,207,61,
"Casa independiente",,,,,,
"Viviendas particulares (004)",13480,13357,108,13,2,
"Ocupantes presentes (005)",56368,55316,866,156,30,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",68,66,1,1,,
"Ocupantes presentes (008)",189,167,6,16,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",439,428,8,1,2,
"Ocupantes presentes (011)",1253,1150,63,9,31,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",225,221,3,1,,
"Ocupantes presentes (014)",637,586,36,15,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",2631,2626,4,1,,
"Ocupantes presentes (017)",12771,12711,49,11,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",9,9,,,,
"Ocupantes presentes (020)",40,40,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",23,23,,,,
"Ocupantes presentes (023)",71,71,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",10,10,,,,
"Ocupantes presentes (026)",33,33,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",8480,8358,105,13,4,
"Ocupantes presentes (029)",33172,32107,851,153,61,
"Casa independiente",,,,,,
"Viviendas particulares (031)",7713,7608,93,10,2,
"Ocupantes presentes (032)",30975,30086,746,113,30,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",68,66,1,1,,
"Ocupantes presentes (035)",189,167,6,16,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",439,428,8,1,2,
"Ocupantes presentes (038)",1253,1150,63,9,31,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",225,221,3,1,,
"Ocupantes presentes (041)",637,586,36,15,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",9,9,,,,
"Ocupantes presentes (047)",40,40,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",21,21,,,,
"Ocupantes presentes (050)",69,69,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",5,5,,,,
"Ocupantes presentes (053)",9,9,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",8405,8382,19,4,,
"Ocupantes presentes (056)",38190,37967,169,54,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",5767,5749,15,3,,
"Ocupantes presentes (059)",25393,25230,120,43,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",2631,2626,4,1,,
"Ocupantes presentes (071)",12771,12711,49,11,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",2,2,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",5,5,,,,
"Ocupantes presentes (080)",24,24,,,,
