"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAYACAJA (000)",25724,24466,87,4008,4051,3570,5852,4184,2091,623,1258,99920
"De 12 a 14 años (001)",62,16,1,14,1,,,,,,46,16
"De 15 a 19 años (002)",820,723,3,595,106,14,5,,,,97,869
"De 20 a 24 años (003)",2981,2555,9,1349,848,269,76,4,,,426,4204
"De 25 a 29 años (004)",3265,2981,8,710,1019,754,443,42,5,,284,7194
"De 30 a 34 años (005)",3006,2859,7,355,639,716,889,235,15,3,147,9285
"De 35 a 39 años (006)",2959,2863,7,219,441,488,1025,549,120,14,96,11761
"De 40 a 44 años (007)",2612,2582,6,123,261,336,813,649,324,70,30,12912
"De 45 a 49 años (008)",2258,2228,6,120,176,232,586,624,370,114,30,12156
"De 50 y más años (009)",7761,7659,40,523,560,761,2015,2081,1257,422,102,41523
"PEA (010)",7734,7268,30,1342,1333,1059,1638,1146,555,165,466,28196
"De 12 a 14 años (011)",5,3,,3,,,,,,,2,3
"De 15 a 19 años (012)",193,169,1,146,18,4,,,,,24,194
"De 20 a 24 años (013)",879,691,3,406,202,63,15,2,,,188,1078
"De 25 a 29 años (014)",1026,904,4,279,316,185,109,9,2,,122,2001
"De 30 a 34 años (015)",991,939,5,172,249,222,235,51,5,,52,2716
"De 35 a 39 años (016)",1027,981,4,103,196,183,317,144,31,3,46,3651
"De 40 a 44 años (017)",934,923,2,46,133,138,282,210,96,16,11,4290
"De 45 a 49 años (018)",757,746,4,53,65,88,196,214,92,34,11,3831
"De 50 y más años (019)",1922,1912,7,134,154,176,484,516,329,112,10,10432
"Ocupada (020)",7558,7139,29,1304,1307,1043,1612,1131,549,164,419,27789
"De 12 a 14 años (021)",5,3,,3,,,,,,,2,3
