"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia BAGUA (000)",16885,8610,8275
"Red pública de desague dentro de la vivienda (001)",4277,4151,126
"Red pública de desague fuera de la vivienda (002)",1402,1304,98
"Pozo séptico (003)",469,346,123
"Pozo ciego o negro / letrina (004)",9239,2348,6891
"Río, acequia o canal (005)",327,217,110
"No tiene (006)",1171,244,927
,,,
"URBANA (008)",8480,7579,901
"Red pública de desague dentro de la vivienda (009)",4208,4098,110
"Red pública de desague fuera de la vivienda (010)",1218,1169,49
"Pozo séptico (011)",368,325,43
"Pozo ciego o negro / letrina (012)",2232,1666,566
"Río, acequia o canal (013)",171,161,10
"No tiene (014)",283,160,123
,,,
"RURAL (016)",8405,1031,7374
"Red pública de desague dentro de la vivienda (017)",69,53,16
"Red pública de desague fuera de la vivienda (018)",184,135,49
"Pozo séptico (019)",101,21,80
"Pozo ciego o negro / letrina (020)",7007,682,6325
"Río, acequia o canal (021)",156,56,100
"No tiene (022)",888,84,804
