"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia GRAN CHIMU (000)",28432,1309,6724,5181,4364,3750,2885,1748,2471
"Quechua (001)",13,,1,2,,4,1,3,2
"Aymara (002)",4,,2,1,,,,,1
"Ashaninca (003)",3,,2,,1,,,,
"Otra lengua nativa (004)",8,,2,,1,1,1,,3
"Castellano (005)",28360,1309,6707,5166,4355,3742,2882,1741,2458
"Idioma extranjero (006)",3,,,1,,1,1,,
"Es sordomudo/a (007)",41,,10,11,7,2,,4,7
"Hombres (009)",15372,663,3450,2855,2456,2077,1602,963,1306
"Quechua (010)",10,,,2,,4,,3,1
"Aymara (011)",3,,2,1,,,,,
"Ashaninca (012)",2,,1,,1,,,,
"Otra lengua nativa (013)",5,,1,,1,,1,,2
"Castellano (014)",15329,663,3442,2848,2449,2072,1600,957,1298
"Idioma extranjero (015)",1,,,,,,1,,
"Es sordomudo/a (016)",22,,4,4,5,1,,3,5
"Mujeres (018)",13060,646,3274,2326,1908,1673,1283,785,1165
"Quechua (019)",3,,1,,,,1,,1
"Aymara (020)",1,,,,,,,,1
"Ashaninca (021)",1,,1,,,,,,
"Otra lengua nativa (022)",3,,1,,,1,,,1
"Castellano (023)",13031,646,3265,2318,1906,1670,1282,784,1160
"Idioma extranjero (024)",2,,,1,,1,,,
"Es sordomudo/a (025)",19,,6,7,2,1,,1,2
,,,,,,,,,
"URBANA (027)",6204,220,1370,1170,902,891,672,376,603
"Quechua (028)",5,,,,,2,1,,2
"Aymara (029)",1,,1,,,,,,
"Otra lengua nativa (031)",6,,1,,,1,1,,3
"Castellano (032)",6183,220,1367,1167,900,887,670,376,596
"Idioma extranjero (033)",2,,,1,,1,,,
"Es sordomudo/a (034)",7,,1,2,2,,,,2
"Hombres (036)",3094,126,695,595,432,428,338,196,284
"Quechua (037)",3,,,,,2,,,1
"Aymara (038)",1,,1,,,,,,
"Otra lengua nativa (040)",4,,1,,,,1,,2
"Castellano (041)",3084,126,693,595,431,426,337,196,280
"Es sordomudo/a (043)",2,,,,1,,,,1
"Mujeres (045)",3110,94,675,575,470,463,334,180,319
"Quechua (046)",2,,,,,,1,,1
"Otra lengua nativa (049)",2,,,,,1,,,1
"Castellano (050)",3099,94,674,572,469,461,333,180,316
"Idioma extranjero (051)",2,,,1,,1,,,
"Es sordomudo/a (052)",5,,1,2,1,,,,1
,,,,,,,,,
"RURAL (054)",22228,1089,5354,4011,3462,2859,2213,1372,1868
"Quechua (055)",8,,1,2,,2,,3,
"Aymara (056)",3,,1,1,,,,,1
"Ashaninca (057)",3,,2,,1,,,,
"Otra lengua nativa (058)",2,,1,,1,,,,
"Castellano (059)",22177,1089,5340,3999,3455,2855,2212,1365,1862
"Idioma extranjero (060)",1,,,,,,1,,
"Es sordomudo/a (061)",34,,9,9,5,2,,4,5
"Hombres (063)",12278,537,2755,2260,2024,1649,1264,767,1022
"Quechua (064)",7,,,2,,2,,3,
"Aymara (065)",2,,1,1,,,,,
"Ashaninca (066)",2,,1,,1,,,,
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",12245,537,2749,2253,2018,1646,1263,761,1018
"Idioma extranjero (069)",1,,,,,,1,,
"Es sordomudo/a (070)",20,,4,4,4,1,,3,4
"Mujeres (072)",9950,552,2599,1751,1438,1210,949,605,846
"Quechua (073)",1,,1,,,,,,
"Aymara (074)",1,,,,,,,,1
"Ashaninca (075)",1,,1,,,,,,
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",9932,552,2591,1746,1437,1209,949,604,844
"Es sordomudo/a (079)",14,,5,5,1,1,,1,1
