"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AYMARAES (000)",10586,10371,2531,936,978,914,1663,1381,1007,961,215,41285
"De 12 a 14 años (001)",1093,1086,1079,4,3,,,,,,7,10
"De 15 a 19 años (002)",1134,1119,949,146,22,2,,,,,15,196
"De 20 a 24 años (003)",789,726,184,298,176,47,20,1,,,63,884
"De 25 a 29 años (004)",867,821,76,182,262,205,87,9,,,46,1748
"De 30 a 34 años (005)",878,849,41,83,180,194,258,80,9,4,29,2783
"De 35 a 39 años (006)",774,763,16,43,97,116,273,155,52,11,11,3321
"De 40 a 44 años (007)",773,767,35,38,57,79,209,200,103,46,6,3989
"De 45 a 49 años (008)",646,643,21,26,26,51,155,170,123,71,3,3847
"De 50 y más años (009)",3632,3597,130,116,155,220,661,766,720,829,35,24507
"PEA (010)",2258,2171,284,293,305,270,399,305,172,143,87,8509
"De 12 a 14 años (011)",27,27,27,,,,,,,,,
"De 15 a 19 años (012)",108,107,73,29,5,,,,,,1,39
"De 20 a 24 años (013)",212,181,53,76,36,10,6,,,,31,203
"De 25 a 29 años (014)",275,248,48,61,74,53,11,1,,,27,420
"De 30 a 34 años (015)",281,265,26,51,74,49,48,13,2,2,16,679
"De 35 a 39 años (016)",257,250,11,25,39,46,82,38,8,1,7,910
"De 40 a 44 años (017)",253,252,9,19,31,39,72,51,21,10,1,1141
"De 45 a 49 años (018)",193,193,6,10,16,22,52,49,29,9,,1007
"De 50 y más años (019)",652,648,31,22,30,51,128,153,112,121,4,4110
"Ocupada (020)",2197,2118,266,282,299,269,394,300,167,141,79,8365
"De 12 a 14 años (021)",23,23,23,,,,,,,,,
"De 15 a 19 años (022)",97,96,65,26,5,,,,,,1,36
"De 20 a 24 años (023)",197,171,50,72,33,10,6,,,,26,193
