"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PAITA (000)",28103,224,9902,9865,3369,1085,454,110,13,,3081
"Catolica (001)",23950,189,8295,8427,2930,941,402,95,13,,2658
"Cristiana / Evangelica (002)",3359,29,1343,1138,350,109,43,13,,,334
"Otra (003)",510,4,154,213,61,24,3,2,,,49
"Ninguna (004)",284,2,110,87,28,11,6,,,,40
,,,,,,,,,,,
"URBANA (006)",26876,210,9391,9477,3244,1052,443,106,13,,2940
"Catolica (007)",22835,177,7840,8070,2813,911,393,92,13,,2526
"Cristiana / Evangelica (008)",3270,27,1296,1116,343,108,41,13,,,326
"Otra (009)",492,4,147,205,60,23,3,1,,,49
"Ninguna (010)",279,2,108,86,28,10,6,,,,39
,,,,,,,,,,,
"RURAL (012)",1227,14,511,388,125,33,11,4,,,141
"Catolica (013)",1115,12,455,357,117,30,9,3,,,132
"Cristiana / Evangelica (014)",89,2,47,22,7,1,2,,,,8
"Otra (015)",18,,7,8,1,1,,1,,,
"Ninguna (016)",5,,2,1,,1,,,,,1
