"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",16819,394,6296,3621,2545,2370,1593
"Jefe o Jefa (001)",4057,,1,556,1201,1340,959
"Esposa(o) / compañera(o) (002)",2782,,5,610,963,866,338
"Hijo(a) / hijastro(a) (003)",7988,300,5455,1962,226,45,
"Yerno / nuera (004)",176,,4,125,43,3,1
"Nieto(a) (005)",663,65,529,65,4,,
"Padres / suegros (006)",270,,,,2,46,222
"Otro(a) pariente (007)",706,26,280,220,65,51,64
"Trabajador(a) del hogar (008)",17,,,10,2,4,1
"Pensionistas (009)",19,,2,10,5,2,
"Otro(a) no pariente (010)",141,3,20,63,34,13,8
"Hombres (011)",8370,200,3202,1806,1261,1131,770
"Jefe o Jefa (012)",3019,,1,432,955,980,651
"Esposa(o) / compañera(o) (013)",228,,4,32,78,79,35
"Hijo(a) / hijastro(a) (014)",4167,160,2762,1095,130,20,
"Yerno / nuera (015)",85,,3,50,29,3,
"Nieto(a) (016)",337,25,268,41,3,,
"Padres / suegros (017)",67,,,,1,9,57
"Otro(a) pariente (018)",372,13,149,115,37,31,27
"Trabajador(a) del hogar (019)",4,,,1,2,1,
"Pensionistas (020)",11,,1,6,4,,
"Otro(a) no pariente (021)",80,2,14,34,22,8,
"Mujeres (022)",8449,194,3094,1815,1284,1239,823
"Jefe o Jefa (023)",1038,,,124,246,360,308
"Esposa(o) / compañera(o) (024)",2554,,1,578,885,787,303
"Hijo(a) / hijastro(a) (025)",3821,140,2693,867,96,25,
"Yerno / nuera (026)",91,,1,75,14,,1
"Nieto(a) (027)",326,40,261,24,1,,
"Padres / suegros (028)",203,,,,1,37,165
"Otro(a) pariente (029)",334,13,131,105,28,20,37
"Trabajador(a) del hogar (030)",13,,,9,,3,1
"Pensionistas (031)",8,,1,4,1,2,
"Otro(a) no pariente (032)",61,1,6,29,12,5,8
,,,,,,,
"URBANA (033)",4233,86,1361,993,759,636,398
"Jefe o Jefa (034)",1138,,1,165,351,372,249
"Esposa(o) / compañera(o) (035)",713,,,177,259,209,68
"Hijo(a) / hijastro(a) (036)",1724,62,1161,422,65,14,
"Yerno / nuera (037)",50,,1,32,16,1,
"Nieto(a) (038)",136,11,99,23,3,,
"Padres / suegros (039)",68,,,,2,14,52
"Otro(a) pariente (040)",287,11,86,112,36,17,25
"Trabajador(a) del hogar (041)",12,,,10,1,1,
"Pensionistas (042)",10,,,7,2,1,
"Otro(a) no pariente (043)",95,2,13,45,24,7,4
"Hombres (044)",2165,44,717,493,403,320,188
"Jefe o Jefa (045)",835,,1,118,282,277,157
"Esposa(o) / compañera(o) (046)",61,,,10,26,19,6
"Hijo(a) / hijastro(a) (047)",916,32,600,240,39,5,
"Yerno / nuera (048)",27,,1,13,12,1,
"Nieto(a) (049)",81,5,59,15,2,,
"Padres / suegros (050)",20,,,,1,4,15
"Otro(a) pariente (051)",165,6,47,67,24,11,10
"Trabajador(a) del hogar (052)",2,,,1,1,,
"Pensionistas (053)",5,,,4,1,,
"Otro(a) no pariente (054)",53,1,9,25,15,3,
"Mujeres (055)",2068,42,644,500,356,316,210
"Jefe o Jefa (056)",303,,,47,69,95,92
"Esposa(o) / compañera(o) (057)",652,,,167,233,190,62
"Hijo(a) / hijastro(a) (058)",808,30,561,182,26,9,
"Yerno / nuera (059)",23,,,19,4,,
"Nieto(a) (060)",55,6,40,8,1,,
"Padres / suegros (061)",48,,,,1,10,37
"Otro(a) pariente (062)",122,5,39,45,12,6,15
"Trabajador(a) del hogar (063)",10,,,9,,1,
"Pensionistas (064)",5,,,3,1,1,
"Otro(a) no pariente (065)",42,1,4,20,9,4,4
,,,,,,,
"RURAL (066)",12586,308,4935,2628,1786,1734,1195
"Jefe o Jefa (067)",2919,,,391,850,968,710
"Esposa(o) / compañera(o) (068)",2069,,5,433,704,657,270
"Hijo(a) / hijastro(a) (069)",6264,238,4294,1540,161,31,
"Yerno / nuera (070)",126,,3,93,27,2,1
"Nieto(a) (071)",527,54,430,42,1,,
"Padres / suegros (072)",202,,,,,32,170
"Otro(a) pariente (073)",419,15,194,108,29,34,39
"Trabajador(a) del hogar (074)",5,,,,1,3,1
"Pensionistas (075)",9,,2,3,3,1,
"Otro(a) no pariente (076)",46,1,7,18,10,6,4
"Hombres (077)",6205,156,2485,1313,858,811,582
"Jefe o Jefa (078)",2184,,,314,673,703,494
"Esposa(o) / compañera(o) (079)",167,,4,22,52,60,29
"Hijo(a) / hijastro(a) (080)",3251,128,2162,855,91,15,
"Yerno / nuera (081)",58,,2,37,17,2,
"Nieto(a) (082)",256,20,209,26,1,,
"Padres / suegros (083)",47,,,,,5,42
"Otro(a) pariente (084)",207,7,102,48,13,20,17
"Trabajador(a) del hogar (085)",2,,,,1,1,
"Pensionistas (086)",6,,1,2,3,,
"Otro(a) no pariente (087)",27,1,5,9,7,5,
"Mujeres (088)",6381,152,2450,1315,928,923,613
"Jefe o Jefa (089)",735,,,77,177,265,216
"Esposa(o) / compañera(o) (090)",1902,,1,411,652,597,241
"Hijo(a) / hijastro(a) (091)",3013,110,2132,685,70,16,
"Yerno / nuera (092)",68,,1,56,10,,1
"Nieto(a) (093)",271,34,221,16,,,
"Padres / suegros (094)",155,,,,,27,128
"Otro(a) pariente (095)",212,8,92,60,16,14,22
"Trabajador(a) del hogar (096)",3,,,,,2,1
"Pensionistas (097)",3,,1,1,,1,
"Otro(a) no pariente (098)",19,,2,9,3,1,4
