"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5488,66,2272,1756,429,153,71,24,4,,713
"Catolica (001)",4758,58,1940,1543,359,138,64,20,4,,632
"Cristiana / Evangelica (002)",665,7,304,189,63,14,7,4,,,77
"Otra (003)",35,1,16,13,4,1,,,,,
"Ninguna (004)",30,,12,11,3,,,,,,4
,,,,,,,,,,,
"URBANA (006)",909,5,304,300,112,37,16,3,2,,130
"Catolica (007)",822,5,272,274,100,33,14,1,2,,121
"Cristiana / Evangelica (008)",67,,26,15,11,3,2,2,,,8
"Otra (009)",12,,4,6,1,1,,,,,
"Ninguna (010)",8,,2,5,,,,,,,1
,,,,,,,,,,,
"RURAL (012)",4579,61,1968,1456,317,116,55,21,2,,583
"Catolica (013)",3936,53,1668,1269,259,105,50,19,2,,511
"Cristiana / Evangelica (014)",598,7,278,174,52,11,5,2,,,69
"Otra (015)",23,1,12,7,3,,,,,,
"Ninguna (016)",22,,10,6,3,,,,,,3
