"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAYACAJA (000)",89993,13103,1562,46437,24679,1134,1024,686,1368
"Hombres (001)",44563,3448,766,22687,15213,656,568,448,777
"Mujeres (002)",45430,9655,796,23750,9466,478,456,238,591
"PEA (003)",32013,4495,55,14135,10546,540,787,319,1136
"Hombres (004)",22594,2288,33,9962,8535,378,488,238,672
"Mujeres (005)",9419,2207,22,4173,2011,162,299,81,464
"Ocupada (006)",30831,4404,51,13655,10033,521,752,309,1106
"Hombres (007)",21687,2229,29,9592,8122,361,470,234,650
"Mujeres (008)",9144,2175,22,4063,1911,160,282,75,456
"Desocupada (009)",1182,91,4,480,513,19,35,10,30
"Hombres (010)",907,59,4,370,413,17,18,4,22
"Mujeres (011)",275,32,,110,100,2,17,6,8
"No PEA (012)",57980,8608,1507,32302,14133,594,237,367,232
"Hombres (013)",21969,1160,733,12725,6678,278,80,210,105
"Mujeres (014)",36011,7448,774,19577,7455,316,157,157,127
,,,,,,,,,
"URBANA (018)",22582,2047,398,9508,7788,650,711,507,973
"Hombres (019)",11184,433,202,4383,4565,350,368,335,548
"Mujeres (020)",11398,1614,196,5125,3223,300,343,172,425
"PEA (021)",9002,771,14,2946,3386,313,543,232,797
"Hombres (022)",5586,251,7,1711,2464,196,317,171,469
"Mujeres (023)",3416,520,7,1235,922,117,226,61,328
"Ocupada (024)",8593,750,13,2826,3186,302,516,226,774
"Hombres (025)",5299,239,6,1628,2313,186,304,169,454
"Mujeres (026)",3294,511,7,1198,873,116,212,57,320
"Desocupada (027)",409,21,1,120,200,11,27,6,23
"Hombres (028)",287,12,1,83,151,10,13,2,15
"Mujeres (029)",122,9,,37,49,1,14,4,8
"No PEA (030)",13580,1276,384,6562,4402,337,168,275,176
"Hombres (031)",5598,182,195,2672,2101,154,51,164,79
"Mujeres (032)",7982,1094,189,3890,2301,183,117,111,97
,,,,,,,,,
"RURAL (036)",67411,11056,1164,36929,16891,484,313,179,395
"Hombres (037)",33379,3015,564,18304,10648,306,200,113,229
"Mujeres (038)",34032,8041,600,18625,6243,178,113,66,166
"PEA (039)",23011,3724,41,11189,7160,227,244,87,339
"Hombres (040)",17008,2037,26,8251,6071,182,171,67,203
"Mujeres (041)",6003,1687,15,2938,1089,45,73,20,136
"Ocupada (042)",22238,3654,38,10829,6847,219,236,83,332
"Hombres (043)",16388,1990,23,7964,5809,175,166,65,196
"Mujeres (044)",5850,1664,15,2865,1038,44,70,18,136
"Desocupada (045)",773,70,3,360,313,8,8,4,7
"Hombres (046)",620,47,3,287,262,7,5,2,7
"Mujeres (047)",153,23,,73,51,1,3,2,
"No PEA (048)",44400,7332,1123,25740,9731,257,69,92,56
"Hombres (049)",16371,978,538,10053,4577,124,29,46,26
"Mujeres (050)",28029,6354,585,15687,5154,133,40,46,30
