"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ASCOPE (000)",116229,2001,29922,29029,24073,20889,10315
"Hombres (001)",58299,1015,15277,14674,11826,10172,5335
"Mujeres (002)",57930,986,14645,14355,12247,10717,4980
"Viviendas particulares (003)",115652,1995,29910,28764,23926,20785,10272
"Hombres (004)",57852,1012,15269,14435,11710,10111,5315
"Mujeres (005)",57800,983,14641,14329,12216,10674,4957
"Viviendas colectivas (006)",540,6,11,257,137,89,40
"Hombres (007)",415,3,7,231,108,48,18
"Mujeres (008)",125,3,4,26,29,41,22
"Otro tipo (009)",37,,1,8,10,15,3
"Hombres (010)",32,,1,8,8,13,2
"Mujeres (011)",5,,,,2,2,1
,,,,,,,
"URBANA (012)",102230,1770,26248,25241,21429,18381,9161
"Hombres (013)",50971,883,13392,12700,10439,8854,4703
"Mujeres (014)",51259,887,12856,12541,10990,9527,4458
"Viviendas particulares (015)",101653,1764,26236,24976,21282,18277,9118
"Hombres (016)",50524,880,13384,12461,10323,8793,4683
"Mujeres (017)",51129,884,12852,12515,10959,9484,4435
"Viviendas colectivas (018)",540,6,11,257,137,89,40
"Hombres (019)",415,3,7,231,108,48,18
"Mujeres (020)",125,3,4,26,29,41,22
"Otro tipo (021)",37,,1,8,10,15,3
"Hombres (022)",32,,1,8,8,13,2
"Mujeres (023)",5,,,,2,2,1
,,,,,,,
"RURAL (024)",13999,231,3674,3788,2644,2508,1154
"Hombres (025)",7328,132,1885,1974,1387,1318,632
"Mujeres (026)",6671,99,1789,1814,1257,1190,522
"Viviendas particulares (027)",13999,231,3674,3788,2644,2508,1154
"Hombres (028)",7328,132,1885,1974,1387,1318,632
"Mujeres (029)",6671,99,1789,1814,1257,1190,522
