"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OYON (000)",7149,6889,1936,871,886,698,1079,659,422,338,260,21220
"De 12 a 14 años (001)",665,655,653,2,,,,,,,10,2
"De 15 a 19 años (002)",886,859,745,104,8,1,1,,,,27,127
"De 20 a 24 años (003)",786,707,230,285,151,36,4,1,,,79,717
"De 25 a 29 años (004)",720,666,96,198,216,103,52,,1,,54,1169
"De 30 a 34 años (005)",688,666,68,110,167,155,143,20,3,,22,1683
"De 35 a 39 años (006)",709,686,34,51,126,152,216,81,22,4,23,2461
"De 40 a 44 años (007)",494,486,19,26,65,75,156,83,45,17,8,2179
"De 45 a 49 años (008)",449,441,15,24,36,42,124,105,61,34,8,2354
"De 50 y más años (009)",1752,1723,76,71,117,134,383,369,290,283,29,10528
"PEA (010)",1981,1846,407,295,291,229,311,143,93,77,135,5543
"De 12 a 14 años (011)",22,19,19,,,,,,,,3,
"De 15 a 19 años (012)",142,137,111,24,1,,1,,,,5,30
"De 20 a 24 años (013)",250,206,106,63,31,5,,1,,,44,146
"De 25 a 29 años (014)",254,220,60,79,51,23,7,,,,34,278
"De 30 a 34 años (015)",247,229,43,61,55,31,34,4,1,,18,445
"De 35 a 39 años (016)",282,269,22,30,59,71,65,19,2,1,13,798
"De 40 a 44 años (017)",162,159,8,8,30,35,48,16,9,5,3,630
"De 45 a 49 años (018)",180,176,11,11,21,26,53,24,20,10,4,807
"De 50 y más años (019)",442,431,27,19,43,38,103,79,61,61,11,2409
"Ocupada (020)",1930,1802,384,292,284,225,308,143,92,74,128,5463
"De 12 a 14 años (021)",22,19,19,,,,,,,,3,
"De 15 a 19 años (022)",126,122,98,22,1,,1,,,,4,28
"De 20 a 24 años (023)",235,195,96,63,30,5,,1,,,40,144
