"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia CHURCAMPA",,,,,,,,,
"Viviendas particulares (001)",11054,1311,1025,314,21,171,7539,392,281
"Ocupantes presentes (002)",43771,5190,4019,1231,90,697,30159,1331,1054
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",10634,1294,864,306,7,164,7379,365,255
"Ocupantes presentes (005)",42340,5146,3584,1194,23,671,29559,1230,933
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",5,,5,,,,,,
"Ocupantes presentes (008)",17,,17,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",15,4,10,,,,,1,
"Ocupantes presentes (011)",55,9,42,,,,,4,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",166,12,144,,,,5,5,
"Ocupantes presentes (014)",443,34,371,,,,25,13,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",224,,,6,14,7,150,21,26
"Ocupantes presentes (017)",894,,,32,67,26,564,84,121
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,1,2,,,,5,,
"Ocupantes presentes (023)",17,1,5,,,,11,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,,,2,,,,,
"Ocupantes presentes (026)",5,,,5,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2476,704,523,47,2,22,977,171,30
"Ocupantes presentes (029)",9051,2647,1767,159,6,103,3720,566,83
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2286,687,362,47,2,22,971,165,30
"Ocupantes presentes (032)",8527,2603,1332,159,6,103,3692,549,83
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",5,,5,,,,,,
"Ocupantes presentes (035)",17,,17,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",15,4,10,,,,,1,
"Ocupantes presentes (038)",55,9,42,,,,,4,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",166,12,144,,,,5,5,
"Ocupantes presentes (041)",443,34,371,,,,25,13,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,1,2,,,,1,,
"Ocupantes presentes (050)",9,1,5,,,,3,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",8578,607,502,267,19,149,6562,221,251
"Ocupantes presentes (056)",34720,2543,2252,1072,84,594,26439,765,971
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",8348,607,502,259,5,142,6408,200,225
"Ocupantes presentes (059)",33813,2543,2252,1035,17,568,25867,681,850
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",224,,,6,14,7,150,21,26
"Ocupantes presentes (071)",894,,,32,67,26,564,84,121
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,,,,,,4,,
"Ocupantes presentes (077)",8,,,,,,8,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",2,,,2,,,,,
"Ocupantes presentes (080)",5,,,5,,,,,
