"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MOYOBAMBA (000)",28218,594,13315,7708,2288,798,346,130,10,,3029
"Sin Nivel (001)",3823,126,1882,950,271,105,63,31,4,,391
"Educación Inicial (002)",67,,41,17,1,1,,,,,7
"Primaria (003)",14477,388,7907,3602,806,266,130,67,4,,1307
"Secundaria (004)",6315,70,2907,1939,478,136,51,16,1,,717
"Sup. no Univ. Incompleta (005)",743,1,193,266,106,23,11,2,,,141
"Sup. no Univ. Completa (006)",1643,6,236,592,361,135,51,8,,,254
"Sup. Univ. Incompleta (007)",337,1,64,104,57,21,7,1,,,82
"Sup. Univ. Completa (008)",813,2,85,238,208,111,33,5,1,,130
,,,,,,,,,,,
"URBANA (010)",18083,294,7754,5225,1751,641,278,101,7,,2032
"Sin Nivel (011)",1548,49,689,384,116,55,30,18,2,,205
"Educación Inicial (012)",23,,15,5,,,,,,,3
"Primaria (013)",7972,182,4189,2086,509,183,103,51,3,,666
"Secundaria (014)",5092,53,2296,1584,411,116,46,16,1,,569
"Sup. no Univ. Incompleta (015)",710,1,186,249,102,23,10,2,,,137
"Sup. no Univ. Completa (016)",1608,6,234,579,355,134,49,8,,,243
"Sup. Univ. Incompleta (017)",327,1,60,102,56,19,7,1,,,81
"Sup. Univ. Completa (018)",803,2,85,236,202,111,33,5,1,,128
,,,,,,,,,,,
"RURAL (020)",10135,300,5561,2483,537,157,68,29,3,,997
"Sin Nivel (021)",2275,77,1193,566,155,50,33,13,2,,186
"Educación Inicial (022)",44,,26,12,1,1,,,,,4
"Primaria (023)",6505,206,3718,1516,297,83,27,16,1,,641
"Secundaria (024)",1223,17,611,355,67,20,5,,,,148
"Sup. no Univ. Incompleta (025)",33,,7,17,4,,1,,,,4
"Sup. no Univ. Completa (026)",35,,2,13,6,1,2,,,,11
"Sup. Univ. Incompleta (027)",10,,4,2,1,2,,,,,1
"Sup. Univ. Completa (028)",10,,,2,6,,,,,,2
