"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PAUCARTAMBO (000)",383,348,35
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",19,19,
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",58,48,10
"Cárcel, centro de readaptación social (005)",33,33,
"Aldea infantil, orfelinato, etc (007)",1,,1
"Otro (008)",106,86,20
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",162,158,4
