"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LIMA (000)",74509,74509,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",12282,12282,
"Casa pensión (003)",1073,1073,
"Hospital, clinica (004)",13911,13911,
"Cárcel, centro de readaptación social (005)",4896,4896,
"Asilo (006)",1885,1885,
"Aldea infantil, orfelinato, etc (007)",2254,2254,
"Otro (008)",34696,34696,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",3512,3512,
