"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARAÑON (000)",6180,5509,171,82,418
"Sin nivel (001)",693,680,7,1,5
"Educación inicial (002)",8,8,,,
"Primaria (003)",3156,3073,55,6,22
"Secundaria (004)",1569,1458,40,10,61
"Superior no univ. incompleta (005)",90,59,3,4,24
"Superior no univ. completa (006)",325,114,35,30,146
"Superior univ. incompleta (007)",97,53,7,6,31
"Superior univ. completa (008)",242,64,24,25,129
"De 06 a 14 años (010)",88,85,3,,
"Sin nivel (011)",12,11,1,,
"Primaria (013)",62,61,1,,
"Secundaria (014)",14,13,1,,
"De 15 a 29 años (020)",1992,1828,50,18,96
"Sin nivel (021)",94,90,1,,3
"Educación inicial (022)",5,5,,,
"Primaria (023)",861,840,17,,4
"Secundaria (024)",851,811,20,1,19
"Superior no univ. incompleta (025)",30,24,,,6
"Superior no univ. completa (026)",77,31,5,9,32
"Superior univ. incompleta (027)",27,16,3,1,7
"Superior univ. completa (028)",47,11,4,7,25
"De 30 a 44 años (030)",2188,1834,74,48,232
"Sin nivel (031)",173,171,,1,1
"Educación inicial (032)",3,3,,,
"Primaria (033)",1101,1074,19,2,6
"Secundaria (034)",478,435,12,4,27
"Superior no univ. incompleta (035)",41,24,,3,14
"Superior no univ. completa (036)",192,64,23,17,88
"Superior univ. incompleta (037)",51,26,2,5,18
"Superior univ. completa (038)",149,37,18,16,78
"De 45 a 64 años (040)",1531,1391,35,16,89
"Sin nivel (041)",272,267,4,,1
"Primaria (043)",923,895,13,4,11
"Secundaria (044)",203,178,5,5,15
"Superior no univ. incompleta (045)",19,11,3,1,4
"Superior no univ. completa (046)",55,18,7,4,26
"Superior univ. incompleta (047)",17,10,1,,6
"Superior univ. completa (048)",42,12,2,2,26
"De 65 y más años (050)",381,371,9,,1
"Sin nivel (051)",142,141,1,,
"Primaria (053)",209,203,5,,1
"Secundaria (054)",23,21,2,,
"Superior no univ. completa (056)",1,1,,,
"Superior univ. incompleta (057)",2,1,1,,
"Superior univ. completa (058)",4,4,,,
,,,,,
"URBANA (060)",1217,811,64,52,290
"Sin nivel (061)",64,62,1,,1
"Primaria (063)",356,332,10,1,13
"Secundaria (064)",329,259,15,5,50
