"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCAVELICA (000)",92,87,5
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",37,37,
"Hospital, clinica (004)",8,7,1
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",28,26,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",16,14,2
