"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TARMA (000)",44297,43051,13994,6092,6234,4462,5881,3326,3062,1246
"Católica (001)",37836,36771,12045,5285,5364,3810,4961,2787,2519,1065
"Cristiana/Evangélica (002)",5354,5213,1590,642,709,558,770,464,480,141
"Otra (003)",809,781,240,115,115,76,126,64,45,28
"Ninguna (004)",298,286,119,50,46,18,24,11,18,12
,,,,,,,,,,
"URBANA (006)",29337,28447,9349,4263,4419,3043,3819,1988,1566,890
"Católica (007)",24930,24175,7997,3683,3771,2581,3189,1674,1280,755
"Cristiana/Evangélica (008)",3560,3458,1071,449,516,391,522,269,240,102
"Otra (009)",606,583,186,88,93,57,91,39,29,23
"Ninguna (010)",241,231,95,43,39,14,17,6,17,10
,,,,,,,,,,
"RURAL (012)",14960,14604,4645,1829,1815,1419,2062,1338,1496,356
"Católica (013)",12906,12596,4048,1602,1593,1229,1772,1113,1239,310
"Cristiana/Evangélica (014)",1794,1755,519,193,193,167,248,195,240,39
"Otra (015)",203,198,54,27,22,19,35,25,16,5
"Ninguna (016)",57,55,24,7,7,4,7,5,1,2
