"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OTUZCO (000)",82514,17033,1876,47909,11268,1278,1937,368,845
"Jefe o Jefa (001)",22236,4073,12,14209,2390,290,729,139,394
"Esposa(o)/ compa¤era(o) (002)",14663,4182,37,8634,1164,100,330,28,188
"Hijo(a)/ hijastro(a) (003)",35595,6280,1452,19967,6281,659,649,147,160
"Yerno/ nuera (004)",1165,67,1,686,256,37,85,8,25
"Nieto(a) (005)",3764,994,285,1912,499,43,19,8,4
"Padres/ suegros (006)",825,483,,327,10,1,2,,2
"Otro(a) pariente (007)",3731,866,86,1944,558,116,96,26,39
"Trabajador(a) del hogar (008)",74,10,,44,18,2,,,
"Pensionista (009)",27,2,,4,6,2,3,3,7
"Otro(a) no pariente (010)",434,76,3,182,86,28,24,9,26
"Hombres (012)",41512,6208,900,25239,6842,695,972,215,441
"Jefe o Jefa (013)",17336,2169,5,11935,2032,222,564,116,293
"Esposa(o)/ compa¤era(o) (014)",516,52,2,326,94,7,15,2,18
"Hijo(a)/ hijastro(a) (015)",18865,3035,721,10485,3862,350,273,72,67
"Yerno/ nuera (016)",514,10,,272,135,24,49,5,19
"Nieto(a) (017)",1933,490,142,958,302,28,10,1,2
"Padres/ suegros (018)",202,59,,135,6,,,,2
"Otro(a) pariente (019)",1905,353,28,1036,352,50,51,16,19
"Trabajador(a) del hogar (020)",7,3,,3,1,,,,
"Pensionista (021)",13,2,,2,5,,1,,3
"Otro(a) no pariente (022)",221,35,2,87,53,14,9,3,18
"Mujeres (024)",41002,10825,976,22670,4426,583,965,153,404
"Jefe o Jefa (025)",4900,1904,7,2274,358,68,165,23,101
"Esposa(o)/ compa¤era(o) (026)",14147,4130,35,8308,1070,93,315,26,170
"Hijo(a)/ hijastro(a) (027)",16730,3245,731,9482,2419,309,376,75,93
"Yerno/ nuera (028)",651,57,1,414,121,13,36,3,6
"Nieto(a) (029)",1831,504,143,954,197,15,9,7,2
"Padres/ suegros (030)",623,424,,192,4,1,2,,
"Otro(a) pariente (031)",1826,513,58,908,206,66,45,10,20
"Trabajador(a) del hogar (032)",67,7,,41,17,2,,,
"Pensionista (033)",14,,,2,1,2,2,3,4
"Otro(a) no pariente (034)",213,41,1,95,33,14,15,6,8
,,,,,,,,,
"URBANA (036)",19864,2789,491,8730,4320,953,1635,256,690
"Jefe o Jefa (037)",5858,671,5,2890,1030,223,629,85,325
"Esposa(o)/ compa¤era(o) (038)",3329,654,5,1605,495,74,310,24,162
"Hijo(a)/ hijastro(a) (039)",7574,911,350,2996,2109,468,507,105,128
"Yerno/ nuera (040)",346,11,,115,101,27,68,5,19
"Nieto(a) (041)",1036,236,101,432,206,31,19,7,4
"Padres/ suegros (042)",269,121,,138,6,1,1,,2
"Otro(a) pariente (043)",1125,145,30,422,291,100,84,22,31
"Trabajador(a) del hogar (044)",60,6,,34,18,2,,,
"Pensionista (045)",12,,,2,3,1,2,1,3
"Otro(a) no pariente (046)",255,34,,96,61,26,15,7,16
