"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTUMAZA (000)",9230,7464,697,511,558
"Sin nivel (001)",452,425,14,8,5
"Educación inicial (002)",7,6,,1,
"Primaria (003)",4551,4203,168,85,95
"Secundaria (004)",2278,1870,198,99,111
"Superior no univ. incompleta (005)",248,171,18,20,39
"Superior no univ. completa (006)",1060,537,181,176,166
"Superior univ. incompleta (007)",144,77,23,22,22
"Superior univ. completa (008)",490,175,95,100,120
"De 06 a 14 años (010)",178,168,6,3,1
"Sin nivel (011)",21,21,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",133,125,5,2,1
"Secundaria (014)",23,21,1,1,
"De 15 a 29 años (020)",2569,2173,187,97,112
"Sin nivel (021)",72,67,3,,2
"Educación inicial (022)",2,1,,1,
"Primaria (023)",1176,1093,43,22,18
"Secundaria (024)",892,747,91,27,27
"Superior no univ. incompleta (025)",91,68,6,10,7
"Superior no univ. completa (026)",237,145,30,25,37
"Superior univ. incompleta (027)",37,24,3,4,6
"Superior univ. completa (028)",62,28,11,8,15
"De 30 a 44 años (030)",3137,2334,314,235,254
"Sin nivel (031)",100,91,4,4,1
"Educación inicial (032)",4,4,,,
"Primaria (033)",1243,1130,53,27,33
"Secundaria (034)",786,640,65,36,45
"Superior no univ. incompleta (035)",104,67,9,6,22
"Superior no univ. completa (036)",585,288,121,97,79
"Superior univ. incompleta (037)",65,32,13,11,9
"Superior univ. completa (038)",250,82,49,54,65
"De 45 a 64 años (040)",2529,2015,173,163,178
"Sin nivel (041)",144,135,5,2,2
"Primaria (043)",1360,1243,54,27,36
"Secundaria (044)",533,422,39,34,38
"Superior no univ. incompleta (045)",52,36,3,4,9
"Superior no univ. completa (046)",231,99,30,54,48
"Superior univ. incompleta (047)",40,20,7,7,6
"Superior univ. completa (048)",169,60,35,35,39
"De 65 y más años (050)",817,774,17,13,13
"Sin nivel (051)",115,111,2,2,
"Primaria (053)",639,612,13,7,7
"Secundaria (054)",44,40,2,1,1
"Superior no univ. incompleta (055)",1,,,,1
"Superior no univ. completa (056)",7,5,,,2
"Superior univ. incompleta (057)",2,1,,,1
"Superior univ. completa (058)",9,5,,3,1
,,,,,
"URBANA (060)",4464,3041,518,432,473
