"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TAHUAMANU (000)",2662,1683,979
"Red pública dentro de la vivienda (001)",544,526,18
"Red pública fuera de la vivienda (002)",533,491,42
"Pilón de uso público (003)",26,8,18
"Camión - cisterna u otro similar (004)",2,2,
"Pozo (005)",944,530,414
"Río, acequia, manatial o similar (006)",526,70,456
"Vecino (007)",31,14,17
"Otro (008)",56,42,14
,,,
"URBANA (010)",1818,1561,257
"Red pública dentro de la vivienda (011)",544,526,18
"Red pública fuera de la vivienda (012)",533,491,42
"Pilón de uso público (013)",16,7,9
"Camión - cisterna u otro similar (014)",2,2,
"Pozo (015)",556,440,116
"Río, acequia, manatial o similar (016)",89,40,49
"Vecino (017)",27,14,13
"Otro (018)",51,41,10
,,,
"RURAL (020)",844,122,722
"Pilón de uso público (023)",10,1,9
"Pozo (025)",388,90,298
"Río, acequia, manatial o similar (026)",437,30,407
"Vecino (027)",4,,4
"Otro (028)",5,1,4
