"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AYMARAES (000)",25782,10158,2631,999,12342
"Hombres (001)",13204,4347,1637,797,6754
"Mujeres (002)",12578,5811,994,202,5588
"PEA (003)",9481,1470,1497,676,6132
"Hombres (004)",7221,948,1129,632,4801
"Mujeres (005)",2260,522,368,44,1331
"Ocupada (006)",9224,1445,1487,669,5916
"Hombres (007)",7025,938,1121,625,4629
"Mujeres (008)",2199,507,366,44,1287
"Desocupada (009)",257,25,10,7,216
"Hombres (010)",196,10,8,7,172
"Mujeres (011)",61,15,2,,44
"No PEA (012)",16301,8688,1134,323,6210
"Hombres (013)",5983,3399,508,165,1953
"Mujeres (014)",10318,5289,626,158,4257
,,,,,
"URBANA (018)",11143,3694,1446,258,5765
"Hombres (019)",5515,1666,741,157,2963
"Mujeres (020)",5628,2028,705,101,2802
"PEA (021)",4282,517,713,131,2926
"Hombres (022)",2952,313,432,101,2111
"Mujeres (023)",1330,204,281,30,815
"Ocupada (024)",4144,506,707,127,2809
"Hombres (025)",2849,309,428,97,2020
"Mujeres (026)",1295,197,279,30,789
"Desocupada (027)",138,11,6,4,117
"Hombres (028)",103,4,4,4,91
"Mujeres (029)",35,7,2,,26
"No PEA (030)",6861,3177,733,127,2839
"Hombres (031)",2563,1353,309,56,852
"Mujeres (032)",4298,1824,424,71,1987
,,,,,
"RURAL (036)",14639,6464,1185,741,6577
"Hombres (037)",7689,2681,896,640,3791
"Mujeres (038)",6950,3783,289,101,2786
"PEA (039)",5199,953,784,545,3206
"Hombres (040)",4269,635,697,531,2690
"Mujeres (041)",930,318,87,14,516
"Ocupada (042)",5080,939,780,542,3107
"Hombres (043)",4176,629,693,528,2609
"Mujeres (044)",904,310,87,14,498
"Desocupada (045)",119,14,4,3,99
"Hombres (046)",93,6,4,3,81
"Mujeres (047)",26,8,,,18
"No PEA (048)",9440,5511,401,196,3371
"Hombres (049)",3420,2046,199,109,1101
"Mujeres (050)",6020,3465,202,87,2270
