"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHANCHAMAYO (000)",39735,1042,17531,11097,3484,1221,541,161,26,,4632
"Sin Nivel (001)",6893,308,3292,1709,504,194,133,61,8,,684
"Educación Inicial (002)",87,3,40,26,6,1,,,,,11
"Primaria (003)",13832,496,7205,3482,857,333,161,58,10,,1230
"Secundaria (004)",12512,196,5643,3770,903,239,106,19,4,,1632
"Sup. no Univ. Incompleta (005)",1497,14,410,526,200,60,18,1,,,268
"Sup. no Univ. Completa (006)",1909,10,387,662,396,122,26,9,2,,295
"Sup. Univ. Incompleta (007)",908,6,210,324,134,38,14,1,1,,180
"Sup. Univ. Completa (008)",2097,9,344,598,484,234,83,12,1,,332
,,,,,,,,,,,
"URBANA (010)",23757,462,9432,6984,2403,894,397,106,21,,3058
"Sin Nivel (011)",2788,124,1245,677,228,88,69,32,5,,320
"Educación Inicial (012)",52,2,21,18,3,1,,,,,7
"Primaria (013)",6943,198,3363,1826,498,209,117,37,8,,687
"Secundaria (014)",8475,111,3658,2621,645,187,85,16,4,,1148
"Sup. no Univ. Incompleta (015)",1202,8,322,445,155,50,14,,,,208
"Sup. no Univ. Completa (016)",1627,8,323,567,328,115,25,9,2,,250
"Sup. Univ. Incompleta (017)",798,5,187,287,120,31,14,1,1,,152
"Sup. Univ. Completa (018)",1872,6,313,543,426,213,73,11,1,,286
,,,,,,,,,,,
"RURAL (020)",15978,580,8099,4113,1081,327,144,55,5,,1574
"Sin Nivel (021)",4105,184,2047,1032,276,106,64,29,3,,364
"Educación Inicial (022)",35,1,19,8,3,,,,,,4
"Primaria (023)",6889,298,3842,1656,359,124,44,21,2,,543
"Secundaria (024)",4037,85,1985,1149,258,52,21,3,,,484
"Sup. no Univ. Incompleta (025)",295,6,88,81,45,10,4,1,,,60
"Sup. no Univ. Completa (026)",282,2,64,95,68,7,1,,,,45
"Sup. Univ. Incompleta (027)",110,1,23,37,14,7,,,,,28
"Sup. Univ. Completa (028)",225,3,31,55,58,21,10,1,,,46
