"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SANTA CRUZ (000)",41392,1839,10888,7162,5401,5276,3896,2803,4127
"Quechua (001)",11,,3,4,3,1,,,
"Aymara (002)",6,1,,1,,1,1,1,1
"Ashaninca (003)",2,,1,,,,,,1
"Otra lengua nativa (004)",3,,,3,,,,,
"Castellano (005)",41229,1833,10867,7132,5369,5245,3875,2794,4114
"Es sordomudo/a (007)",141,5,17,22,29,29,20,8,11
"Hombres (009)",20758,959,5578,3802,2624,2566,1865,1325,2039
"Quechua (010)",5,,2,2,1,,,,
"Aymara (011)",2,,,1,,1,,,
"Ashaninca (012)",1,,,,,,,,1
"Castellano (014)",20672,955,5565,3788,2611,2548,1856,1320,2029
"Es sordomudo/a (016)",78,4,11,11,12,17,9,5,9
"Mujeres (018)",20634,880,5310,3360,2777,2710,2031,1478,2088
"Quechua (019)",6,,1,2,2,1,,,
"Aymara (020)",4,1,,,,,1,1,1
"Ashaninca (021)",1,,1,,,,,,
"Otra lengua nativa (022)",3,,,3,,,,,
"Castellano (023)",20557,878,5302,3344,2758,2697,2019,1474,2085
"Es sordomudo/a (025)",63,1,6,11,17,12,11,3,2
,,,,,,,,,
"URBANA (027)",8728,361,2054,1517,1220,1391,895,535,755
"Quechua (028)",2,,,,2,,,,
"Aymara (029)",4,,,1,,,1,1,1
"Castellano (032)",8697,361,2051,1514,1213,1384,889,532,753
"Es sordomudo/a (034)",25,,3,2,5,7,5,2,1
"Hombres (036)",4323,179,1041,728,586,688,467,264,370
"Quechua (037)",1,,,,1,,,,
"Aymara (038)",1,,,1,,,,,
"Castellano (041)",4306,179,1039,726,583,684,463,263,369
"Es sordomudo/a (043)",15,,2,1,2,4,4,1,1
"Mujeres (045)",4405,182,1013,789,634,703,428,271,385
"Quechua (046)",1,,,,1,,,,
"Aymara (047)",3,,,,,,1,1,1
"Castellano (050)",4391,182,1012,788,630,700,426,269,384
"Es sordomudo/a (052)",10,,1,1,3,3,1,1,
,,,,,,,,,
"RURAL (054)",32664,1478,8834,5645,4181,3885,3001,2268,3372
"Quechua (055)",9,,3,4,1,1,,,
"Aymara (056)",2,1,,,,1,,,
"Ashaninca (057)",2,,1,,,,,,1
"Otra lengua nativa (058)",3,,,3,,,,,
"Castellano (059)",32532,1472,8816,5618,4156,3861,2986,2262,3361
"Es sordomudo/a (061)",116,5,14,20,24,22,15,6,10
"Hombres (063)",16435,780,4537,3074,2038,1878,1398,1061,1669
"Quechua (064)",4,,2,2,,,,,
"Aymara (065)",1,,,,,1,,,
"Ashaninca (066)",1,,,,,,,,1
"Castellano (068)",16366,776,4526,3062,2028,1864,1393,1057,1660
"Es sordomudo/a (070)",63,4,9,10,10,13,5,4,8
"Mujeres (072)",16229,698,4297,2571,2143,2007,1603,1207,1703
"Quechua (073)",5,,1,2,1,1,,,
"Aymara (074)",1,1,,,,,,,
"Ashaninca (075)",1,,1,,,,,,
"Otra lengua nativa (076)",3,,,3,,,,,
"Castellano (077)",16166,696,4290,2556,2128,1997,1593,1205,1701
"Es sordomudo/a (079)",53,1,5,10,14,9,10,2,2
