"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia POMABAMBA (000)",26007,13671,2743,288,9325
"Sin Nivel (001)",7545,3847,214,53,3434
"Educación Inicial (002)",1079,861,73,15,131
"Primaria (003)",9919,6358,664,56,2845
"Secundaria (004)",4728,2198,562,63,1905
"Sup. no Univ. Incompleta (005)",674,176,124,17,358
"Sup. no Univ. Completa (006)",1180,128,670,34,351
"Sup. Univ. Incompleta (007)",320,55,84,14,167
"Sup. Univ. Completa (008)",562,48,352,36,134
"Hombres (010)",12539,6377,1358,160,4658
"Sin Nivel (011)",2556,1295,97,19,1148
"Educación Inicial (012)",532,432,38,6,56
"Primaria (013)",5215,3213,290,27,1687
"Secundaria (014)",2670,1203,259,41,1167
"Sup. no Univ. Incompleta (015)",379,97,58,10,215
"Sup. no Univ. Completa (016)",657,72,354,25,209
"Sup. Univ. Incompleta (017)",186,31,48,11,96
"Sup. Univ. Completa (018)",344,34,214,21,80
"Mujeres (020)",13468,7294,1385,128,4667
"Sin Nivel (021)",4989,2552,117,34,2286
"Educación Inicial (022)",547,429,35,9,75
"Primaria (023)",4704,3145,374,29,1158
"Secundaria (024)",2058,995,303,22,738
"Sup. no Univ. Incompleta (025)",295,79,66,7,143
"Sup. no Univ. Completa (026)",523,56,316,9,142
"Sup. Univ. Incompleta (027)",134,24,36,3,71
"Sup. Univ. Completa (028)",218,14,138,15,54
,,,,,
"URBANA (030)",5763,1508,1988,162,2118
"Sin Nivel (031)",741,274,118,12,337
"Educación Inicial (032)",183,90,56,5,33
"Primaria (033)",1563,591,451,23,499
"Secundaria (034)",1471,391,412,37,631
"Sup. no Univ. Incompleta (035)",378,68,84,13,213
"Sup. no Univ. Completa (036)",788,54,510,26,201
"Sup. Univ. Incompleta (037)",199,18,66,12,103
"Sup. Univ. Completa (038)",440,22,291,34,101
"Hombres (040)",2799,687,979,101,1040
"Sin Nivel (041)",242,85,54,5,98
"Educación Inicial (042)",86,43,28,3,12
"Primaria (043)",735,283,206,10,236
"Secundaria (044)",759,197,188,27,347
"Sup. no Univ. Incompleta (045)",199,30,39,8,122
"Sup. no Univ. Completa (046)",413,27,261,19,109
"Sup. Univ. Incompleta (047)",107,7,37,9,54
"Sup. Univ. Completa (048)",258,15,166,20,62
"Mujeres (050)",2964,821,1009,61,1078
"Sin Nivel (051)",499,189,64,7,239
"Educación Inicial (052)",97,47,28,2,21
"Primaria (053)",828,308,245,13,263
"Secundaria (054)",712,194,224,10,284
"Sup. no Univ. Incompleta (055)",179,38,45,5,91
"Sup. no Univ. Completa (056)",375,27,249,7,92
"Sup. Univ. Incompleta (057)",92,11,29,3,49
"Sup. Univ. Completa (058)",182,7,125,14,39
,,,,,
"RURAL (060)",20244,12163,755,126,7207
"Sin Nivel (061)",6804,3573,96,41,3097
"Educación Inicial (062)",896,771,17,10,98
"Primaria (063)",8356,5767,213,33,2346
"Secundaria (064)",3257,1807,150,26,1274
"Sup. no Univ. Incompleta (065)",296,108,40,4,145
"Sup. no Univ. Completa (066)",392,74,160,8,150
"Sup. Univ. Incompleta (067)",121,37,18,2,64
"Sup. Univ. Completa (068)",122,26,61,2,33
"Hombres (070)",9740,5690,379,59,3618
"Sin Nivel (071)",2314,1210,43,14,1050
"Educación Inicial (072)",446,389,10,3,44
"Primaria (073)",4480,2930,84,17,1451
"Secundaria (074)",1911,1006,71,14,820
"Sup. no Univ. Incompleta (075)",180,67,19,2,93
"Sup. no Univ. Completa (076)",244,45,93,6,100
"Sup. Univ. Incompleta (077)",79,24,11,2,42
"Sup. Univ. Completa (078)",86,19,48,1,18
"Mujeres (080)",10504,6473,376,67,3589
"Sin Nivel (081)",4490,2363,53,27,2047
"Educación Inicial (082)",450,382,7,7,54
"Primaria (083)",3876,2837,129,16,895
"Secundaria (084)",1346,801,79,12,454
"Sup. no Univ. Incompleta (085)",116,41,21,2,52
"Sup. no Univ. Completa (086)",148,29,67,2,50
"Sup. Univ. Incompleta (087)",42,13,7,,22
"Sup. Univ. Completa (088)",36,7,13,1,15
